[2022-07-17T11:51:46.599Z INFO  mempool::config] Garbage collection depth set to 50 rounds
[2022-07-17T11:51:46.600Z INFO  mempool::config] Sync retry delay set to 5000 ms
[2022-07-17T11:51:46.600Z INFO  mempool::config] Sync retry nodes set to 3 nodes
[2022-07-17T11:51:46.600Z INFO  mempool::config] Batch size set to 15000 B
[2022-07-17T11:51:46.600Z INFO  mempool::config] Max batch delay set to 10 ms
[2022-07-17T11:51:46.600Z INFO  mempool::mempool] Mempool listening to client transactions on 0.0.0.0:9011
[2022-07-17T11:51:46.600Z INFO  mempool::mempool] Mempool listening to mempool messages on 0.0.0.0:9021
[2022-07-17T11:51:46.600Z INFO  mempool::mempool] Mempool successfully booted on 127.0.0.1
[2022-07-17T11:51:46.600Z INFO  consensus::config] Timeout delay set to 1000 rounds
[2022-07-17T11:51:46.601Z INFO  consensus::config] Sync retry delay set to 10000 ms
[2022-07-17T11:51:46.601Z INFO  consensus::consensus] Node 52RzH6wxVVYx5uji listening to consensus messages on 0.0.0.0:9001
[2022-07-17T11:51:46.602Z INFO  node::node] Node 52RzH6wxVVYx5uji successfully booted
[2022-07-17T11:51:46.848Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61153
[2022-07-17T11:51:46.849Z INFO  consensus::core] I'm handler 52RzH6wxVVYx5uji handling for block B1 with round number 1 with QC 0 from leader Bpz58Q+hGe3J/Cfs
[2022-07-17T11:51:46.849Z INFO  consensus::core] I'm processor 52RzH6wxVVYx5uji processing for block B1 with round number 1 with QC 0 from leader Bpz58Q+hGe3J/Cfs
[2022-07-17T11:51:46.849Z INFO  consensus::core] I'm voter 52RzH6wxVVYx5uji voting for block B1 with round number 1 with QC 0 from leader Bpz58Q+hGe3J/Cfs
[2022-07-17T11:51:46.850Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9003
[2022-07-17T11:51:47.064Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61167
[2022-07-17T11:51:47.069Z INFO  consensus::core] I'm handler 52RzH6wxVVYx5uji handling for block B2 with round number 2 with QC 1 from leader KtC0cFy/T49mYmsy
[2022-07-17T11:51:47.072Z INFO  consensus::core] I'm processor 52RzH6wxVVYx5uji processing for block B2 with round number 2 with QC 1 from leader KtC0cFy/T49mYmsy
[2022-07-17T11:51:47.072Z INFO  consensus::core] I'm voter 52RzH6wxVVYx5uji voting for block B2 with round number 2 with QC 1 from leader KtC0cFy/T49mYmsy
[2022-07-17T11:51:47.074Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-17T11:51:47.927Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61196
[2022-07-17T11:51:47.986Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61197
[2022-07-17T11:51:47.995Z INFO  mempool::batch_maker] Batch hxjAbW8+KWtIYG8L4VpHdEtFytpaQpcVy/TuEiuIgXA= contains sample tx 0
[2022-07-17T11:51:47.995Z INFO  mempool::batch_maker] Batch hxjAbW8+KWtIYG8L4VpHdEtFytpaQpcVy/TuEiuIgXA= contains 2560 B
[2022-07-17T11:51:47.996Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9029 (retry 0): Connection refused (os error 111)
[2022-07-17T11:51:47.996Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9026
[2022-07-17T11:51:47.996Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9020
[2022-07-17T11:51:47.996Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9028
[2022-07-17T11:51:47.996Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9025
[2022-07-17T11:51:47.996Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9024
[2022-07-17T11:51:47.996Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9023
[2022-07-17T11:51:47.996Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9027
[2022-07-17T11:51:47.997Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9022
[2022-07-17T11:51:48.041Z INFO  mempool::batch_maker] Batch S5wvzQ+5nTLQ0evnkXn9FxcOQVS0Ulo6nuXyOyMRJO8= contains sample tx 1
[2022-07-17T11:51:48.041Z INFO  mempool::batch_maker] Batch S5wvzQ+5nTLQ0evnkXn9FxcOQVS0Ulo6nuXyOyMRJO8= contains 2560 B
[2022-07-17T11:51:48.062Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61213
[2022-07-17T11:51:48.064Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61217
[2022-07-17T11:51:48.074Z WARN  consensus::core] Timeout reached for round 2
[2022-07-17T11:51:48.075Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61230
[2022-07-17T11:51:48.075Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61241
[2022-07-17T11:51:48.077Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9007
[2022-07-17T11:51:48.077Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9006
[2022-07-17T11:51:48.078Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9002
[2022-07-17T11:51:48.078Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9008
[2022-07-17T11:51:48.078Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9004
[2022-07-17T11:51:48.078Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9000
[2022-07-17T11:51:48.078Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61261
[2022-07-17T11:51:48.079Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9005
[2022-07-17T11:51:48.081Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61268
[2022-07-17T11:51:48.081Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-17T11:51:48.082Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61285
[2022-07-17T11:51:48.082Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61274
[2022-07-17T11:51:48.082Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61288
[2022-07-17T11:51:48.090Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-17T11:51:48.099Z INFO  mempool::batch_maker] Batch PHkKR+lEVbpL6dQBLsVCBm61I2CSv/CI49S+Ns8rIxM= contains sample tx 2
[2022-07-17T11:51:48.099Z INFO  mempool::batch_maker] Batch PHkKR+lEVbpL6dQBLsVCBm61I2CSv/CI49S+Ns8rIxM= contains 2560 B
[2022-07-17T11:51:48.127Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61297
[2022-07-17T11:51:48.146Z INFO  mempool::batch_maker] Batch g7/cA7KDtJI8jYiH2M7iVYx34AVyEEHkfdJ/o+g7xaY= contains sample tx 3
[2022-07-17T11:51:48.146Z INFO  mempool::batch_maker] Batch g7/cA7KDtJI8jYiH2M7iVYx34AVyEEHkfdJ/o+g7xaY= contains 2560 B
[2022-07-17T11:51:48.188Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61310
[2022-07-17T11:51:48.193Z INFO  mempool::batch_maker] Batch OrKKU/lpjrbxlIkEsKZKFiP9Xj21vjvBdLhICYctmF0= contains sample tx 4
[2022-07-17T11:51:48.193Z INFO  mempool::batch_maker] Batch OrKKU/lpjrbxlIkEsKZKFiP9Xj21vjvBdLhICYctmF0= contains 2560 B
[2022-07-17T11:51:48.197Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9029 (retry 1): Connection refused (os error 111)
[2022-07-17T11:51:48.236Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61326
[2022-07-17T11:51:48.250Z INFO  mempool::batch_maker] Batch 1SxOWuTfpz4vftsbSdBBwzXeC1eDyTTPOaDt4ZFWiFo= contains sample tx 5
[2022-07-17T11:51:48.251Z INFO  mempool::batch_maker] Batch 1SxOWuTfpz4vftsbSdBBwzXeC1eDyTTPOaDt4ZFWiFo= contains 2560 B
[2022-07-17T11:51:48.274Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61334
[2022-07-17T11:51:48.296Z INFO  mempool::batch_maker] Batch tfPlVGMqSzlsISnMrr7BuLjg+Y9tO3GgEU/lIxMc1YQ= contains sample tx 6
[2022-07-17T11:51:48.296Z INFO  mempool::batch_maker] Batch tfPlVGMqSzlsISnMrr7BuLjg+Y9tO3GgEU/lIxMc1YQ= contains 2560 B
[2022-07-17T11:51:48.326Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61345
[2022-07-17T11:51:48.343Z INFO  mempool::batch_maker] Batch ypyIdziEqzALxnxZ/XohADn4cKViJmdmJ8XJcJEyL/g= contains sample tx 7
[2022-07-17T11:51:48.343Z INFO  mempool::batch_maker] Batch ypyIdziEqzALxnxZ/XohADn4cKViJmdmJ8XJcJEyL/g= contains 2560 B
[2022-07-17T11:51:48.384Z INFO  network::receiver] Incoming connection established with 127.0.0.1:61355
[2022-07-17T11:51:48.388Z INFO  mempool::batch_maker] Batch EAU2hYsB+aeNUdH0ItGHIXG5sn8yWM5IeP1RvXim1D4= contains 512 B
[2022-07-17T11:51:48.400Z INFO  mempool::batch_maker] Batch TxTNBMmhcBh9/Y8+7+eAvxBAIJKuzXssiJjTLWRnKMg= contains sample tx 8
[2022-07-17T11:51:48.400Z INFO  mempool::batch_maker] Batch TxTNBMmhcBh9/Y8+7+eAvxBAIJKuzXssiJjTLWRnKMg= contains 2048 B
[2022-07-17T11:51:48.447Z INFO  mempool::batch_maker] Batch b+kNWyy6vAYT7kUPmBNrMhaE53JtB3DHI7ppjlcx3hA= contains sample tx 9
