[2022-07-17T10:46:47.416Z INFO  client] Node address: 127.0.0.1:9011
[2022-07-17T10:46:47.417Z INFO  client] Transactions size: 512 B
[2022-07-17T10:46:47.417Z INFO  client] Transactions rate: 112 tx/s
[2022-07-17T10:46:47.417Z INFO  client] Waiting for all nodes to be online...
[2022-07-17T10:46:47.417Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-17T10:46:49.420Z INFO  client] Start sending transactions
[2022-07-17T10:46:49.421Z INFO  client] Sending sample transaction 0
[2022-07-17T10:46:49.471Z INFO  client] Sending sample transaction 1
[2022-07-17T10:46:49.521Z INFO  client] Sending sample transaction 2
[2022-07-17T10:46:49.572Z INFO  client] Sending sample transaction 3
[2022-07-17T10:46:49.623Z INFO  client] Sending sample transaction 4
[2022-07-17T10:46:49.672Z INFO  client] Sending sample transaction 5
[2022-07-17T10:46:49.722Z INFO  client] Sending sample transaction 6
[2022-07-17T10:46:49.772Z INFO  client] Sending sample transaction 7
[2022-07-17T10:46:49.823Z INFO  client] Sending sample transaction 8
[2022-07-17T10:46:49.873Z INFO  client] Sending sample transaction 9
[2022-07-17T10:46:49.922Z INFO  client] Sending sample transaction 10
[2022-07-17T10:46:49.973Z INFO  client] Sending sample transaction 11
[2022-07-17T10:46:50.022Z INFO  client] Sending sample transaction 12
[2022-07-17T10:46:50.072Z INFO  client] Sending sample transaction 13
[2022-07-17T10:46:50.122Z INFO  client] Sending sample transaction 14
[2022-07-17T10:46:50.172Z INFO  client] Sending sample transaction 15
[2022-07-17T10:46:50.222Z INFO  client] Sending sample transaction 16
[2022-07-17T10:46:50.273Z INFO  client] Sending sample transaction 17
[2022-07-17T10:46:50.339Z INFO  client] Sending sample transaction 18
[2022-07-17T10:46:50.372Z INFO  client] Sending sample transaction 19
[2022-07-17T10:46:50.424Z INFO  client] Sending sample transaction 20
[2022-07-17T10:46:50.471Z INFO  client] Sending sample transaction 21
[2022-07-17T10:46:50.523Z INFO  client] Sending sample transaction 22
[2022-07-17T10:46:50.572Z INFO  client] Sending sample transaction 23
[2022-07-17T10:46:50.633Z INFO  client] Sending sample transaction 24
[2022-07-17T10:46:50.674Z INFO  client] Sending sample transaction 25
[2022-07-17T10:46:50.723Z INFO  client] Sending sample transaction 26
[2022-07-17T10:46:50.772Z INFO  client] Sending sample transaction 27
[2022-07-17T10:46:50.822Z INFO  client] Sending sample transaction 28
[2022-07-17T10:46:50.872Z INFO  client] Sending sample transaction 29
[2022-07-17T10:46:50.921Z INFO  client] Sending sample transaction 30
[2022-07-17T10:46:50.971Z INFO  client] Sending sample transaction 31
[2022-07-17T10:46:51.022Z INFO  client] Sending sample transaction 32
[2022-07-17T10:46:51.072Z INFO  client] Sending sample transaction 33
[2022-07-17T10:46:51.123Z INFO  client] Sending sample transaction 34
[2022-07-17T10:46:51.171Z INFO  client] Sending sample transaction 35
[2022-07-17T10:46:51.221Z INFO  client] Sending sample transaction 36
[2022-07-17T10:46:51.272Z INFO  client] Sending sample transaction 37
