[2022-07-17T10:46:49.326Z INFO  mempool::config] Garbage collection depth set to 50 rounds
[2022-07-17T10:46:49.327Z INFO  mempool::config] Sync retry delay set to 5000 ms
[2022-07-17T10:46:49.327Z INFO  mempool::config] Sync retry nodes set to 3 nodes
[2022-07-17T10:46:49.327Z INFO  mempool::config] Batch size set to 15000 B
[2022-07-17T10:46:49.327Z INFO  mempool::config] Max batch delay set to 10 ms
[2022-07-17T10:46:49.327Z INFO  mempool::mempool] Mempool listening to client transactions on 0.0.0.0:9018
[2022-07-17T10:46:49.327Z INFO  mempool::mempool] Mempool listening to mempool messages on 0.0.0.0:9028
[2022-07-17T10:46:49.327Z INFO  mempool::mempool] Mempool successfully booted on 127.0.0.1
[2022-07-17T10:46:49.327Z INFO  consensus::config] Timeout delay set to 1000 rounds
[2022-07-17T10:46:49.327Z INFO  consensus::config] Sync retry delay set to 10000 ms
[2022-07-17T10:46:49.327Z INFO  consensus::consensus] Node X6o+GgTw+uNdUNs9 listening to consensus messages on 0.0.0.0:9008
[2022-07-17T10:46:49.327Z INFO  node::node] Node X6o+GgTw+uNdUNs9 successfully booted
[2022-07-17T10:46:49.354Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63855
[2022-07-17T10:46:49.432Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63872
[2022-07-17T10:46:49.451Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63873
[2022-07-17T10:46:49.500Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63884
[2022-07-17T10:46:49.590Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63889
[2022-07-17T10:46:49.593Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63896
[2022-07-17T10:46:49.626Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63898
[2022-07-17T10:46:49.666Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63903
[2022-07-17T10:46:49.741Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63921
[2022-07-17T10:46:49.851Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63934
[2022-07-17T10:46:50.016Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63943
[2022-07-17T10:46:50.046Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63951
[2022-07-17T10:46:50.066Z INFO  mempool::batch_maker] Batch 3enMKT+6qfgDbArFNWIAQ7SNCb1Gs84pc+yarR9wPYs= contains sample tx 0
[2022-07-17T10:46:50.066Z INFO  mempool::batch_maker] Batch 3enMKT+6qfgDbArFNWIAQ7SNCb1Gs84pc+yarR9wPYs= contains 2560 B
[2022-07-17T10:46:50.067Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9020
[2022-07-17T10:46:50.067Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9022
[2022-07-17T10:46:50.067Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9025
[2022-07-17T10:46:50.067Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9023
[2022-07-17T10:46:50.068Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9021
[2022-07-17T10:46:50.068Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9027
[2022-07-17T10:46:50.068Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9024
[2022-07-17T10:46:50.068Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9026
[2022-07-17T10:46:50.067Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9029 (retry 0): Connection refused (os error 111)
[2022-07-17T10:46:50.113Z INFO  mempool::batch_maker] Batch uuQxuigehFgYZjeFXJVSg3mMRcZsOVWxzZCxHU6wTZw= contains sample tx 1
[2022-07-17T10:46:50.113Z INFO  mempool::batch_maker] Batch uuQxuigehFgYZjeFXJVSg3mMRcZsOVWxzZCxHU6wTZw= contains 2560 B
[2022-07-17T10:46:50.159Z INFO  mempool::batch_maker] Batch lEQYEa+4OztMi1+/Ma3UN8ncq/xZT+thZ1pnvVZYIRA= contains sample tx 2
[2022-07-17T10:46:50.159Z INFO  mempool::batch_maker] Batch lEQYEa+4OztMi1+/Ma3UN8ncq/xZT+thZ1pnvVZYIRA= contains 2560 B
[2022-07-17T10:46:50.215Z INFO  mempool::batch_maker] Batch Z9YJLT0cKL4X/fNpZ0s2NufWm8agl3OsE1Um7ATLzJw= contains sample tx 3
[2022-07-17T10:46:50.215Z INFO  mempool::batch_maker] Batch Z9YJLT0cKL4X/fNpZ0s2NufWm8agl3OsE1Um7ATLzJw= contains 2560 B
[2022-07-17T10:46:50.251Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63965
[2022-07-17T10:46:50.258Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63979
[2022-07-17T10:46:50.258Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63987
[2022-07-17T10:46:50.260Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63989
[2022-07-17T10:46:50.271Z INFO  network::receiver] Incoming connection established with 127.0.0.1:63995
[2022-07-17T10:46:50.271Z INFO  network::receiver] Incoming connection established with 127.0.0.1:64011
[2022-07-17T10:46:50.271Z INFO  network::receiver] Incoming connection established with 127.0.0.1:64002
[2022-07-17T10:46:50.271Z INFO  network::receiver] Incoming connection established with 127.0.0.1:64022
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created with Round number 4 with QC 2 
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> vft/lOLK9+tIwLOih8IEMK5wn8eOTenTGQ5Oo7xStJM=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> 4VXoTvMV/qbEhn9Mr4txe3Auhf6E0QA9sKyFLjPNQYs=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> 7V05oe05ebOQHWsApSfPI6VZqYrevezRinRVKEf8AMI=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> bLu+/CG9SN65oWQG3c4J09sOVmRe0zZZCQsTd4q0jyQ=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> /mxglwzEA9GiyrSw8qmCBdA6HWT57bz/tT12S+rBH6A=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> BsbIpGbNvTABUSdHf7JTRNgqlc2vl5ZiOwQ/QWmVSsI=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> QvMwS6BfCx2Ir3sscJ8vowCi1ne68gjZxJGFYsRy9u4=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> iAiWde8+d5zGtGuJk4Y4+EQw78kOdB/90AQTK4XrTiE=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> o65mHTrHSRUVr3R+Ttbt6mFBfBWipn44f4cN9kqmcNI=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> tdkuWA8h1MpbvIlrf8GiH4yFZgaWdD0r1+a3q6tSMAE=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> OnRfy3s3WyO95dLDKvv/VQSOC464dQ6u0lwuyCgt8V0=
[2022-07-17T10:46:50.271Z INFO  consensus::proposer] Created B4 -> 2Q4N/D+jaCcv2HeNm7vohl5xRwRJlHgEOgOidaZ4vBk=
