[2022-07-23T11:26:45.202Z INFO  client] Node address: 127.0.0.1:9018
[2022-07-23T11:26:45.207Z INFO  client] Transactions size: 512 B
[2022-07-23T11:26:45.207Z INFO  client] Transactions rate: 112 tx/s
[2022-07-23T11:26:45.207Z INFO  client] Waiting for all nodes to be online...
[2022-07-23T11:26:45.207Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-23T11:26:47.211Z INFO  client] Start sending transactions
[2022-07-23T11:26:47.212Z INFO  client] Sending sample transaction 0
[2022-07-23T11:26:47.263Z INFO  client] Sending sample transaction 1
[2022-07-23T11:26:47.313Z INFO  client] Sending sample transaction 2
[2022-07-23T11:26:47.374Z INFO  client] Sending sample transaction 3
[2022-07-23T11:26:47.413Z INFO  client] Sending sample transaction 4
[2022-07-23T11:26:47.463Z INFO  client] Sending sample transaction 5
[2022-07-23T11:26:47.513Z INFO  client] Sending sample transaction 6
[2022-07-23T11:26:47.563Z INFO  client] Sending sample transaction 7
[2022-07-23T11:26:47.613Z INFO  client] Sending sample transaction 8
[2022-07-23T11:26:47.663Z INFO  client] Sending sample transaction 9
[2022-07-23T11:26:47.712Z INFO  client] Sending sample transaction 10
[2022-07-23T11:26:47.764Z INFO  client] Sending sample transaction 11
[2022-07-23T11:26:47.815Z INFO  client] Sending sample transaction 12
[2022-07-23T11:26:47.862Z INFO  client] Sending sample transaction 13
[2022-07-23T11:26:47.914Z INFO  client] Sending sample transaction 14
[2022-07-23T11:26:47.962Z INFO  client] Sending sample transaction 15
[2022-07-23T11:26:48.028Z INFO  client] Sending sample transaction 16
[2022-07-23T11:26:48.070Z INFO  client] Sending sample transaction 17
[2022-07-23T11:26:48.116Z INFO  client] Sending sample transaction 18
[2022-07-23T11:26:48.164Z INFO  client] Sending sample transaction 19
[2022-07-23T11:26:48.212Z INFO  client] Sending sample transaction 20
[2022-07-23T11:26:48.263Z INFO  client] Sending sample transaction 21
[2022-07-23T11:26:48.313Z INFO  client] Sending sample transaction 22
[2022-07-23T11:26:48.364Z INFO  client] Sending sample transaction 23
[2022-07-23T11:26:48.414Z INFO  client] Sending sample transaction 24
[2022-07-23T11:26:48.463Z INFO  client] Sending sample transaction 25
[2022-07-23T11:26:48.513Z INFO  client] Sending sample transaction 26
[2022-07-23T11:26:48.562Z INFO  client] Sending sample transaction 27
[2022-07-23T11:26:48.614Z INFO  client] Sending sample transaction 28
[2022-07-23T11:26:48.663Z INFO  client] Sending sample transaction 29
[2022-07-23T11:26:48.712Z INFO  client] Sending sample transaction 30
[2022-07-23T11:26:48.762Z INFO  client] Sending sample transaction 31
[2022-07-23T11:26:48.813Z INFO  client] Sending sample transaction 32
[2022-07-23T11:26:48.863Z INFO  client] Sending sample transaction 33
[2022-07-23T11:26:48.913Z INFO  client] Sending sample transaction 34
[2022-07-23T11:26:48.963Z INFO  client] Sending sample transaction 35
[2022-07-23T11:26:49.013Z INFO  client] Sending sample transaction 36
[2022-07-23T11:26:49.064Z INFO  client] Sending sample transaction 37
[2022-07-23T11:26:49.112Z INFO  client] Sending sample transaction 38
[2022-07-23T11:26:49.162Z INFO  client] Sending sample transaction 39
[2022-07-23T11:26:49.212Z INFO  client] Sending sample transaction 40
[2022-07-23T11:26:49.262Z INFO  client] Sending sample transaction 41
[2022-07-23T11:26:49.313Z INFO  client] Sending sample transaction 42
[2022-07-23T11:26:49.363Z INFO  client] Sending sample transaction 43
[2022-07-23T11:26:49.421Z INFO  client] Sending sample transaction 44
[2022-07-23T11:26:49.465Z INFO  client] Sending sample transaction 45
[2022-07-23T11:26:49.512Z INFO  client] Sending sample transaction 46
[2022-07-23T11:26:49.562Z INFO  client] Sending sample transaction 47
[2022-07-23T11:26:49.613Z INFO  client] Sending sample transaction 48
[2022-07-23T11:26:49.662Z INFO  client] Sending sample transaction 49
[2022-07-23T11:26:49.712Z INFO  client] Sending sample transaction 50
[2022-07-23T11:26:49.762Z INFO  client] Sending sample transaction 51
[2022-07-23T11:26:49.812Z INFO  client] Sending sample transaction 52
[2022-07-23T11:26:49.863Z INFO  client] Sending sample transaction 53
[2022-07-23T11:26:49.913Z INFO  client] Sending sample transaction 54
[2022-07-23T11:26:49.962Z INFO  client] Sending sample transaction 55
[2022-07-23T11:26:50.012Z INFO  client] Sending sample transaction 56
[2022-07-23T11:26:50.062Z INFO  client] Sending sample transaction 57
[2022-07-23T11:26:50.113Z INFO  client] Sending sample transaction 58
[2022-07-23T11:26:50.163Z INFO  client] Sending sample transaction 59
[2022-07-23T11:26:50.213Z INFO  client] Sending sample transaction 60
[2022-07-23T11:26:50.263Z INFO  client] Sending sample transaction 61
[2022-07-23T11:26:50.312Z INFO  client] Sending sample transaction 62
[2022-07-23T11:26:50.363Z INFO  client] Sending sample transaction 63
[2022-07-23T11:26:50.412Z INFO  client] Sending sample transaction 64
[2022-07-23T11:26:50.463Z INFO  client] Sending sample transaction 65
[2022-07-23T11:26:50.512Z INFO  client] Sending sample transaction 66
[2022-07-23T11:26:50.563Z INFO  client] Sending sample transaction 67
[2022-07-23T11:26:50.612Z INFO  client] Sending sample transaction 68
[2022-07-23T11:26:50.663Z INFO  client] Sending sample transaction 69
[2022-07-23T11:26:50.712Z INFO  client] Sending sample transaction 70
[2022-07-23T11:26:50.762Z INFO  client] Sending sample transaction 71
[2022-07-23T11:26:50.813Z INFO  client] Sending sample transaction 72
[2022-07-23T11:26:50.863Z INFO  client] Sending sample transaction 73
[2022-07-23T11:26:50.913Z INFO  client] Sending sample transaction 74
[2022-07-23T11:26:50.962Z INFO  client] Sending sample transaction 75
[2022-07-23T11:26:51.013Z INFO  client] Sending sample transaction 76
[2022-07-23T11:26:51.063Z INFO  client] Sending sample transaction 77
[2022-07-23T11:26:51.113Z INFO  client] Sending sample transaction 78
[2022-07-23T11:26:51.163Z INFO  client] Sending sample transaction 79
[2022-07-23T11:26:51.212Z INFO  client] Sending sample transaction 80
[2022-07-23T11:26:51.263Z INFO  client] Sending sample transaction 81
[2022-07-23T11:26:51.313Z INFO  client] Sending sample transaction 82
[2022-07-23T11:26:51.362Z INFO  client] Sending sample transaction 83
[2022-07-23T11:26:51.412Z INFO  client] Sending sample transaction 84
[2022-07-23T11:26:51.463Z INFO  client] Sending sample transaction 85
[2022-07-23T11:26:51.512Z INFO  client] Sending sample transaction 86
[2022-07-23T11:26:51.566Z INFO  client] Sending sample transaction 87
[2022-07-23T11:26:51.614Z INFO  client] Sending sample transaction 88
[2022-07-23T11:26:51.662Z INFO  client] Sending sample transaction 89
[2022-07-23T11:26:51.712Z INFO  client] Sending sample transaction 90
[2022-07-23T11:26:51.763Z INFO  client] Sending sample transaction 91
[2022-07-23T11:26:51.813Z INFO  client] Sending sample transaction 92
[2022-07-23T11:26:51.862Z INFO  client] Sending sample transaction 93
[2022-07-23T11:26:51.913Z INFO  client] Sending sample transaction 94
[2022-07-23T11:26:51.963Z INFO  client] Sending sample transaction 95
[2022-07-23T11:26:52.012Z INFO  client] Sending sample transaction 96
[2022-07-23T11:26:52.062Z INFO  client] Sending sample transaction 97
[2022-07-23T11:26:52.112Z INFO  client] Sending sample transaction 98
[2022-07-23T11:26:52.162Z INFO  client] Sending sample transaction 99
[2022-07-23T11:26:52.212Z INFO  client] Sending sample transaction 100
[2022-07-23T11:26:52.262Z INFO  client] Sending sample transaction 101
[2022-07-23T11:26:52.313Z INFO  client] Sending sample transaction 102
[2022-07-23T11:26:52.363Z INFO  client] Sending sample transaction 103
[2022-07-23T11:26:52.413Z INFO  client] Sending sample transaction 104
