[2022-07-23T16:42:16.229Z INFO  client] Node address: 127.0.0.1:9015
[2022-07-23T16:42:16.230Z INFO  client] Transactions size: 512 B
[2022-07-23T16:42:16.230Z INFO  client] Transactions rate: 112 tx/s
[2022-07-23T16:42:16.230Z INFO  client] Waiting for all nodes to be online...
[2022-07-23T16:42:16.230Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-23T16:42:18.240Z INFO  client] Start sending transactions
[2022-07-23T16:42:18.241Z INFO  client] Sending sample transaction 0
[2022-07-23T16:42:18.292Z INFO  client] Sending sample transaction 1
[2022-07-23T16:42:18.342Z INFO  client] Sending sample transaction 2
[2022-07-23T16:42:18.393Z INFO  client] Sending sample transaction 3
[2022-07-23T16:42:18.443Z INFO  client] Sending sample transaction 4
[2022-07-23T16:42:18.492Z INFO  client] Sending sample transaction 5
[2022-07-23T16:42:18.542Z INFO  client] Sending sample transaction 6
[2022-07-23T16:42:18.591Z INFO  client] Sending sample transaction 7
[2022-07-23T16:42:18.642Z INFO  client] Sending sample transaction 8
[2022-07-23T16:42:18.693Z INFO  client] Sending sample transaction 9
[2022-07-23T16:42:18.741Z INFO  client] Sending sample transaction 10
[2022-07-23T16:42:18.792Z INFO  client] Sending sample transaction 11
[2022-07-23T16:42:18.842Z INFO  client] Sending sample transaction 12
[2022-07-23T16:42:18.893Z INFO  client] Sending sample transaction 13
[2022-07-23T16:42:18.943Z INFO  client] Sending sample transaction 14
[2022-07-23T16:42:18.991Z INFO  client] Sending sample transaction 15
[2022-07-23T16:42:19.041Z INFO  client] Sending sample transaction 16
[2022-07-23T16:42:19.092Z INFO  client] Sending sample transaction 17
[2022-07-23T16:42:19.142Z INFO  client] Sending sample transaction 18
[2022-07-23T16:42:19.193Z INFO  client] Sending sample transaction 19
[2022-07-23T16:42:19.242Z INFO  client] Sending sample transaction 20
[2022-07-23T16:42:19.302Z INFO  client] Sending sample transaction 21
[2022-07-23T16:42:19.343Z INFO  client] Sending sample transaction 22
[2022-07-23T16:42:19.392Z INFO  client] Sending sample transaction 23
[2022-07-23T16:42:19.443Z INFO  client] Sending sample transaction 24
[2022-07-23T16:42:19.492Z INFO  client] Sending sample transaction 25
[2022-07-23T16:42:19.541Z INFO  client] Sending sample transaction 26
[2022-07-23T16:42:19.592Z INFO  client] Sending sample transaction 27
[2022-07-23T16:42:19.641Z INFO  client] Sending sample transaction 28
[2022-07-23T16:42:19.694Z INFO  client] Sending sample transaction 29
[2022-07-23T16:42:19.742Z INFO  client] Sending sample transaction 30
[2022-07-23T16:42:19.792Z INFO  client] Sending sample transaction 31
[2022-07-23T16:42:19.842Z INFO  client] Sending sample transaction 32
[2022-07-23T16:42:19.893Z INFO  client] Sending sample transaction 33
[2022-07-23T16:42:19.943Z INFO  client] Sending sample transaction 34
[2022-07-23T16:42:19.991Z INFO  client] Sending sample transaction 35
[2022-07-23T16:42:20.042Z INFO  client] Sending sample transaction 36
[2022-07-23T16:42:20.092Z INFO  client] Sending sample transaction 37
[2022-07-23T16:42:20.142Z INFO  client] Sending sample transaction 38
[2022-07-23T16:42:20.191Z INFO  client] Sending sample transaction 39
[2022-07-23T16:42:20.242Z INFO  client] Sending sample transaction 40
[2022-07-23T16:42:20.292Z INFO  client] Sending sample transaction 41
[2022-07-23T16:42:20.341Z INFO  client] Sending sample transaction 42
[2022-07-23T16:42:20.392Z INFO  client] Sending sample transaction 43
[2022-07-23T16:42:20.442Z INFO  client] Sending sample transaction 44
[2022-07-23T16:42:20.491Z INFO  client] Sending sample transaction 45
[2022-07-23T16:42:20.542Z INFO  client] Sending sample transaction 46
[2022-07-23T16:42:20.591Z INFO  client] Sending sample transaction 47
[2022-07-23T16:42:20.641Z INFO  client] Sending sample transaction 48
[2022-07-23T16:42:20.692Z INFO  client] Sending sample transaction 49
[2022-07-23T16:42:20.742Z INFO  client] Sending sample transaction 50
[2022-07-23T16:42:20.793Z INFO  client] Sending sample transaction 51
[2022-07-23T16:42:20.841Z INFO  client] Sending sample transaction 52
[2022-07-23T16:42:20.891Z INFO  client] Sending sample transaction 53
[2022-07-23T16:42:20.942Z INFO  client] Sending sample transaction 54
[2022-07-23T16:42:20.991Z INFO  client] Sending sample transaction 55
[2022-07-23T16:42:21.041Z INFO  client] Sending sample transaction 56
[2022-07-23T16:42:21.091Z INFO  client] Sending sample transaction 57
[2022-07-23T16:42:21.142Z INFO  client] Sending sample transaction 58
[2022-07-23T16:42:21.194Z INFO  client] Sending sample transaction 59
[2022-07-23T16:42:21.242Z INFO  client] Sending sample transaction 60
[2022-07-23T16:42:21.292Z INFO  client] Sending sample transaction 61
[2022-07-23T16:42:21.342Z INFO  client] Sending sample transaction 62
[2022-07-23T16:42:21.413Z INFO  client] Sending sample transaction 63
[2022-07-23T16:42:21.443Z INFO  client] Sending sample transaction 64
[2022-07-23T16:42:21.492Z INFO  client] Sending sample transaction 65
[2022-07-23T16:42:21.542Z INFO  client] Sending sample transaction 66
[2022-07-23T16:42:21.592Z INFO  client] Sending sample transaction 67
[2022-07-23T16:42:21.641Z INFO  client] Sending sample transaction 68
[2022-07-23T16:42:21.692Z INFO  client] Sending sample transaction 69
[2022-07-23T16:42:21.741Z INFO  client] Sending sample transaction 70
[2022-07-23T16:42:21.791Z INFO  client] Sending sample transaction 71
[2022-07-23T16:42:21.842Z INFO  client] Sending sample transaction 72
[2022-07-23T16:42:21.892Z INFO  client] Sending sample transaction 73
[2022-07-23T16:42:21.941Z INFO  client] Sending sample transaction 74
[2022-07-23T16:42:21.991Z INFO  client] Sending sample transaction 75
[2022-07-23T16:42:22.042Z INFO  client] Sending sample transaction 76
[2022-07-23T16:42:22.092Z INFO  client] Sending sample transaction 77
[2022-07-23T16:42:22.142Z INFO  client] Sending sample transaction 78
[2022-07-23T16:42:22.191Z INFO  client] Sending sample transaction 79
[2022-07-23T16:42:22.242Z INFO  client] Sending sample transaction 80
[2022-07-23T16:42:22.291Z INFO  client] Sending sample transaction 81
[2022-07-23T16:42:22.341Z INFO  client] Sending sample transaction 82
[2022-07-23T16:42:22.393Z INFO  client] Sending sample transaction 83
[2022-07-23T16:42:22.443Z INFO  client] Sending sample transaction 84
[2022-07-23T16:42:22.491Z INFO  client] Sending sample transaction 85
[2022-07-23T16:42:22.541Z INFO  client] Sending sample transaction 86
[2022-07-23T16:42:22.591Z INFO  client] Sending sample transaction 87
[2022-07-23T16:42:22.643Z INFO  client] Sending sample transaction 88
[2022-07-23T16:42:22.693Z INFO  client] Sending sample transaction 89
[2022-07-23T16:42:22.741Z INFO  client] Sending sample transaction 90
[2022-07-23T16:42:22.791Z INFO  client] Sending sample transaction 91
[2022-07-23T16:42:22.842Z INFO  client] Sending sample transaction 92
[2022-07-23T16:42:22.892Z INFO  client] Sending sample transaction 93
[2022-07-23T16:42:22.942Z INFO  client] Sending sample transaction 94
[2022-07-23T16:42:22.991Z INFO  client] Sending sample transaction 95
[2022-07-23T16:42:23.042Z INFO  client] Sending sample transaction 96
[2022-07-23T16:42:23.091Z INFO  client] Sending sample transaction 97
[2022-07-23T16:42:23.142Z INFO  client] Sending sample transaction 98
[2022-07-23T16:42:23.191Z INFO  client] Sending sample transaction 99
[2022-07-23T16:42:23.241Z INFO  client] Sending sample transaction 100
[2022-07-23T16:42:23.291Z INFO  client] Sending sample transaction 101
[2022-07-23T16:42:23.342Z INFO  client] Sending sample transaction 102
[2022-07-23T16:42:23.391Z INFO  client] Sending sample transaction 103
[2022-07-23T16:42:23.442Z INFO  client] Sending sample transaction 104
[2022-07-23T16:42:23.507Z INFO  client] Sending sample transaction 105
[2022-07-23T16:42:23.542Z INFO  client] Sending sample transaction 106
[2022-07-23T16:42:23.592Z INFO  client] Sending sample transaction 107
[2022-07-23T16:42:23.641Z INFO  client] Sending sample transaction 108
[2022-07-23T16:42:23.691Z INFO  client] Sending sample transaction 109
[2022-07-23T16:42:23.742Z INFO  client] Sending sample transaction 110
[2022-07-23T16:42:23.792Z INFO  client] Sending sample transaction 111
[2022-07-23T16:42:23.841Z INFO  client] Sending sample transaction 112
[2022-07-23T16:42:23.891Z INFO  client] Sending sample transaction 113
[2022-07-23T16:42:23.941Z INFO  client] Sending sample transaction 114
[2022-07-23T16:42:23.991Z INFO  client] Sending sample transaction 115
[2022-07-23T16:42:24.042Z INFO  client] Sending sample transaction 116
[2022-07-23T16:42:24.092Z INFO  client] Sending sample transaction 117
[2022-07-23T16:42:24.142Z INFO  client] Sending sample transaction 118
[2022-07-23T16:42:24.192Z INFO  client] Sending sample transaction 119
[2022-07-23T16:42:24.241Z INFO  client] Sending sample transaction 120
[2022-07-23T16:42:24.292Z INFO  client] Sending sample transaction 121
[2022-07-23T16:42:24.341Z INFO  client] Sending sample transaction 122
[2022-07-23T16:42:24.392Z INFO  client] Sending sample transaction 123
[2022-07-23T16:42:24.442Z INFO  client] Sending sample transaction 124
[2022-07-23T16:42:24.492Z INFO  client] Sending sample transaction 125
[2022-07-23T16:42:24.542Z INFO  client] Sending sample transaction 126
[2022-07-23T16:42:24.592Z INFO  client] Sending sample transaction 127
[2022-07-23T16:42:24.642Z INFO  client] Sending sample transaction 128
[2022-07-23T16:42:24.692Z INFO  client] Sending sample transaction 129
[2022-07-23T16:42:24.741Z INFO  client] Sending sample transaction 130
[2022-07-23T16:42:24.791Z INFO  client] Sending sample transaction 131
[2022-07-23T16:42:24.842Z INFO  client] Sending sample transaction 132
[2022-07-23T16:42:24.891Z INFO  client] Sending sample transaction 133
[2022-07-23T16:42:24.941Z INFO  client] Sending sample transaction 134
[2022-07-23T16:42:24.991Z INFO  client] Sending sample transaction 135
[2022-07-23T16:42:25.041Z INFO  client] Sending sample transaction 136
[2022-07-23T16:42:25.092Z INFO  client] Sending sample transaction 137
[2022-07-23T16:42:25.142Z INFO  client] Sending sample transaction 138
[2022-07-23T16:42:25.191Z INFO  client] Sending sample transaction 139
[2022-07-23T16:42:25.242Z INFO  client] Sending sample transaction 140
[2022-07-23T16:42:25.292Z INFO  client] Sending sample transaction 141
[2022-07-23T16:42:25.341Z INFO  client] Sending sample transaction 142
[2022-07-23T16:42:25.392Z INFO  client] Sending sample transaction 143
[2022-07-23T16:42:25.441Z INFO  client] Sending sample transaction 144
[2022-07-23T16:42:25.491Z INFO  client] Sending sample transaction 145
[2022-07-23T16:42:25.541Z INFO  client] Sending sample transaction 146
[2022-07-23T16:42:25.594Z INFO  client] Sending sample transaction 147
[2022-07-23T16:42:25.649Z INFO  client] Sending sample transaction 148
[2022-07-23T16:42:25.691Z INFO  client] Sending sample transaction 149
[2022-07-23T16:42:25.741Z INFO  client] Sending sample transaction 150
[2022-07-23T16:42:25.791Z INFO  client] Sending sample transaction 151
[2022-07-23T16:42:25.842Z INFO  client] Sending sample transaction 152
[2022-07-23T16:42:25.892Z INFO  client] Sending sample transaction 153
[2022-07-23T16:42:25.942Z INFO  client] Sending sample transaction 154
[2022-07-23T16:42:25.991Z INFO  client] Sending sample transaction 155
[2022-07-23T16:42:26.042Z INFO  client] Sending sample transaction 156
[2022-07-23T16:42:26.092Z INFO  client] Sending sample transaction 157
[2022-07-23T16:42:26.142Z INFO  client] Sending sample transaction 158
[2022-07-23T16:42:26.192Z INFO  client] Sending sample transaction 159
[2022-07-23T16:42:26.242Z INFO  client] Sending sample transaction 160
[2022-07-23T16:42:26.292Z INFO  client] Sending sample transaction 161
[2022-07-23T16:42:26.342Z INFO  client] Sending sample transaction 162
[2022-07-23T16:42:26.392Z INFO  client] Sending sample transaction 163
