[2022-07-23T16:54:54.902Z INFO  client] Node address: 127.0.0.1:9018
[2022-07-23T16:54:54.903Z INFO  client] Transactions size: 512 B
[2022-07-23T16:54:54.903Z INFO  client] Transactions rate: 112 tx/s
[2022-07-23T16:54:54.903Z INFO  client] Waiting for all nodes to be online...
[2022-07-23T16:54:54.903Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-23T16:54:56.979Z INFO  client] Start sending transactions
[2022-07-23T16:54:56.986Z INFO  client] Sending sample transaction 0
[2022-07-23T16:54:57.080Z INFO  client] Sending sample transaction 1
[2022-07-23T16:54:57.116Z INFO  client] Sending sample transaction 2
[2022-07-23T16:54:57.179Z INFO  client] Sending sample transaction 3
[2022-07-23T16:54:57.219Z INFO  client] Sending sample transaction 4
[2022-07-23T16:54:57.290Z INFO  client] Sending sample transaction 5
[2022-07-23T16:54:57.348Z WARN  client] Transaction rate too high for this client
[2022-07-23T16:54:57.350Z INFO  client] Sending sample transaction 6
[2022-07-23T16:54:57.364Z INFO  client] Sending sample transaction 7
[2022-07-23T16:54:57.461Z INFO  client] Sending sample transaction 8
[2022-07-23T16:54:57.516Z INFO  client] Sending sample transaction 9
[2022-07-23T16:54:57.517Z INFO  client] Sending sample transaction 10
[2022-07-23T16:54:57.547Z INFO  client] Sending sample transaction 11
[2022-07-23T16:54:57.600Z INFO  client] Sending sample transaction 12
[2022-07-23T16:54:57.634Z INFO  client] Sending sample transaction 13
[2022-07-23T16:54:57.682Z INFO  client] Sending sample transaction 14
[2022-07-23T16:54:57.740Z INFO  client] Sending sample transaction 15
[2022-07-23T16:54:57.785Z INFO  client] Sending sample transaction 16
[2022-07-23T16:54:57.835Z INFO  client] Sending sample transaction 17
[2022-07-23T16:54:57.883Z INFO  client] Sending sample transaction 18
[2022-07-23T16:54:57.935Z INFO  client] Sending sample transaction 19
[2022-07-23T16:54:57.981Z INFO  client] Sending sample transaction 20
[2022-07-23T16:54:58.031Z INFO  client] Sending sample transaction 21
