[2022-07-23T16:20:59.643Z INFO  client] Node address: 127.0.0.1:9018
[2022-07-23T16:20:59.644Z INFO  client] Transactions size: 512 B
[2022-07-23T16:20:59.644Z INFO  client] Transactions rate: 112 tx/s
[2022-07-23T16:20:59.644Z INFO  client] Waiting for all nodes to be online...
[2022-07-23T16:20:59.644Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-23T16:21:01.650Z INFO  client] Start sending transactions
[2022-07-23T16:21:01.652Z INFO  client] Sending sample transaction 0
[2022-07-23T16:21:01.718Z WARN  client] Transaction rate too high for this client
[2022-07-23T16:21:01.747Z INFO  client] Sending sample transaction 1
[2022-07-23T16:21:01.771Z WARN  client] Transaction rate too high for this client
[2022-07-23T16:21:01.819Z INFO  client] Sending sample transaction 2
[2022-07-23T16:21:01.864Z WARN  client] Transaction rate too high for this client
[2022-07-23T16:21:01.864Z INFO  client] Sending sample transaction 3
[2022-07-23T16:21:01.867Z INFO  client] Sending sample transaction 4
[2022-07-23T16:21:01.917Z INFO  client] Sending sample transaction 5
[2022-07-23T16:21:01.952Z INFO  client] Sending sample transaction 6
[2022-07-23T16:21:02.006Z INFO  client] Sending sample transaction 7
[2022-07-23T16:21:02.052Z INFO  client] Sending sample transaction 8
[2022-07-23T16:21:02.103Z INFO  client] Sending sample transaction 9
[2022-07-23T16:21:02.151Z INFO  client] Sending sample transaction 10
[2022-07-23T16:21:02.202Z INFO  client] Sending sample transaction 11
[2022-07-23T16:21:02.255Z INFO  client] Sending sample transaction 12
[2022-07-23T16:21:02.303Z INFO  client] Sending sample transaction 13
[2022-07-23T16:21:02.354Z INFO  client] Sending sample transaction 14
[2022-07-23T16:21:02.401Z INFO  client] Sending sample transaction 15
[2022-07-23T16:21:02.459Z INFO  client] Sending sample transaction 16
[2022-07-23T16:21:02.506Z INFO  client] Sending sample transaction 17
[2022-07-23T16:21:02.554Z INFO  client] Sending sample transaction 18
[2022-07-23T16:21:02.603Z INFO  client] Sending sample transaction 19
[2022-07-23T16:21:02.652Z INFO  client] Sending sample transaction 20
[2022-07-23T16:21:02.702Z INFO  client] Sending sample transaction 21
[2022-07-23T16:21:02.752Z INFO  client] Sending sample transaction 22
[2022-07-23T16:21:02.802Z INFO  client] Sending sample transaction 23
[2022-07-23T16:21:02.852Z INFO  client] Sending sample transaction 24
[2022-07-23T16:21:02.901Z INFO  client] Sending sample transaction 25
[2022-07-23T16:21:02.951Z INFO  client] Sending sample transaction 26
[2022-07-23T16:21:03.001Z INFO  client] Sending sample transaction 27
[2022-07-23T16:21:03.051Z INFO  client] Sending sample transaction 28
[2022-07-23T16:21:03.103Z INFO  client] Sending sample transaction 29
[2022-07-23T16:21:03.152Z INFO  client] Sending sample transaction 30
[2022-07-23T16:21:03.202Z INFO  client] Sending sample transaction 31
[2022-07-23T16:21:03.252Z INFO  client] Sending sample transaction 32
[2022-07-23T16:21:03.303Z INFO  client] Sending sample transaction 33
[2022-07-23T16:21:03.353Z INFO  client] Sending sample transaction 34
[2022-07-23T16:21:03.401Z INFO  client] Sending sample transaction 35
[2022-07-23T16:21:03.465Z INFO  client] Sending sample transaction 36
[2022-07-23T16:21:03.512Z INFO  client] Sending sample transaction 37
[2022-07-23T16:21:03.553Z INFO  client] Sending sample transaction 38
[2022-07-23T16:21:03.603Z INFO  client] Sending sample transaction 39
[2022-07-23T16:21:03.651Z INFO  client] Sending sample transaction 40
[2022-07-23T16:21:03.702Z INFO  client] Sending sample transaction 41
[2022-07-23T16:21:03.753Z INFO  client] Sending sample transaction 42
[2022-07-23T16:21:03.802Z INFO  client] Sending sample transaction 43
[2022-07-23T16:21:03.851Z INFO  client] Sending sample transaction 44
[2022-07-23T16:21:03.901Z INFO  client] Sending sample transaction 45
[2022-07-23T16:21:03.951Z INFO  client] Sending sample transaction 46
[2022-07-23T16:21:04.001Z INFO  client] Sending sample transaction 47
[2022-07-23T16:21:04.051Z INFO  client] Sending sample transaction 48
[2022-07-23T16:21:04.102Z INFO  client] Sending sample transaction 49
[2022-07-23T16:21:04.151Z INFO  client] Sending sample transaction 50
[2022-07-23T16:21:04.201Z INFO  client] Sending sample transaction 51
[2022-07-23T16:21:04.251Z INFO  client] Sending sample transaction 52
[2022-07-23T16:21:04.302Z INFO  client] Sending sample transaction 53
[2022-07-23T16:21:04.352Z INFO  client] Sending sample transaction 54
[2022-07-23T16:21:04.401Z INFO  client] Sending sample transaction 55
[2022-07-23T16:21:04.452Z INFO  client] Sending sample transaction 56
[2022-07-23T16:21:04.501Z INFO  client] Sending sample transaction 57
[2022-07-23T16:21:04.552Z INFO  client] Sending sample transaction 58
[2022-07-23T16:21:04.603Z INFO  client] Sending sample transaction 59
[2022-07-23T16:21:04.651Z INFO  client] Sending sample transaction 60
[2022-07-23T16:21:04.702Z INFO  client] Sending sample transaction 61
[2022-07-23T16:21:04.752Z INFO  client] Sending sample transaction 62
[2022-07-23T16:21:04.801Z INFO  client] Sending sample transaction 63
[2022-07-23T16:21:04.852Z INFO  client] Sending sample transaction 64
[2022-07-23T16:21:04.901Z INFO  client] Sending sample transaction 65
[2022-07-23T16:21:04.952Z INFO  client] Sending sample transaction 66
[2022-07-23T16:21:05.002Z INFO  client] Sending sample transaction 67
[2022-07-23T16:21:05.051Z INFO  client] Sending sample transaction 68
[2022-07-23T16:21:05.101Z INFO  client] Sending sample transaction 69
[2022-07-23T16:21:05.151Z INFO  client] Sending sample transaction 70
[2022-07-23T16:21:05.200Z INFO  client] Sending sample transaction 71
[2022-07-23T16:21:05.252Z INFO  client] Sending sample transaction 72
[2022-07-23T16:21:05.301Z INFO  client] Sending sample transaction 73
[2022-07-23T16:21:05.351Z INFO  client] Sending sample transaction 74
[2022-07-23T16:21:05.401Z INFO  client] Sending sample transaction 75
[2022-07-23T16:21:05.451Z INFO  client] Sending sample transaction 76
[2022-07-23T16:21:05.501Z INFO  client] Sending sample transaction 77
[2022-07-23T16:21:05.552Z INFO  client] Sending sample transaction 78
