[2022-07-24T09:54:47.800Z INFO  client] Node address: 127.0.0.1:9013
[2022-07-24T09:54:47.801Z INFO  client] Transactions size: 512 B
[2022-07-24T09:54:47.801Z INFO  client] Transactions rate: 112 tx/s
[2022-07-24T09:54:47.801Z INFO  client] Waiting for all nodes to be online...
[2022-07-24T09:54:47.801Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-24T09:54:49.910Z INFO  client] Start sending transactions
[2022-07-24T09:54:49.911Z INFO  client] Sending sample transaction 0
[2022-07-24T09:54:50.001Z INFO  client] Sending sample transaction 1
[2022-07-24T09:54:50.013Z INFO  client] Sending sample transaction 2
[2022-07-24T09:54:50.082Z INFO  client] Sending sample transaction 3
[2022-07-24T09:54:50.126Z INFO  client] Sending sample transaction 4
[2022-07-24T09:54:50.188Z INFO  client] Sending sample transaction 5
[2022-07-24T09:54:50.212Z INFO  client] Sending sample transaction 6
[2022-07-24T09:54:50.280Z INFO  client] Sending sample transaction 7
[2022-07-24T09:54:50.328Z INFO  client] Sending sample transaction 8
[2022-07-24T09:54:50.365Z INFO  client] Sending sample transaction 9
[2022-07-24T09:54:50.508Z INFO  client] Sending sample transaction 10
[2022-07-24T09:54:50.631Z INFO  client] Sending sample transaction 11
[2022-07-24T09:54:50.642Z INFO  client] Sending sample transaction 12
[2022-07-24T09:54:50.661Z INFO  client] Sending sample transaction 13
[2022-07-24T09:54:50.662Z INFO  client] Sending sample transaction 14
[2022-07-24T09:54:50.676Z INFO  client] Sending sample transaction 15
[2022-07-24T09:54:50.717Z INFO  client] Sending sample transaction 16
[2022-07-24T09:54:50.773Z INFO  client] Sending sample transaction 17
[2022-07-24T09:54:50.837Z INFO  client] Sending sample transaction 18
[2022-07-24T09:54:50.871Z INFO  client] Sending sample transaction 19
[2022-07-24T09:54:50.922Z INFO  client] Sending sample transaction 20
[2022-07-24T09:54:50.965Z INFO  client] Sending sample transaction 21
[2022-07-24T09:54:51.014Z INFO  client] Sending sample transaction 22
[2022-07-24T09:54:51.062Z INFO  client] Sending sample transaction 23
[2022-07-24T09:54:51.113Z INFO  client] Sending sample transaction 24
[2022-07-24T09:54:51.163Z INFO  client] Sending sample transaction 25
[2022-07-24T09:54:51.211Z INFO  client] Sending sample transaction 26
[2022-07-24T09:54:51.262Z INFO  client] Sending sample transaction 27
[2022-07-24T09:54:51.313Z INFO  client] Sending sample transaction 28
[2022-07-24T09:54:51.363Z INFO  client] Sending sample transaction 29
[2022-07-24T09:54:51.412Z INFO  client] Sending sample transaction 30
[2022-07-24T09:54:51.465Z INFO  client] Sending sample transaction 31
[2022-07-24T09:54:51.515Z INFO  client] Sending sample transaction 32
[2022-07-24T09:54:51.597Z INFO  client] Sending sample transaction 33
[2022-07-24T09:54:51.657Z INFO  client] Sending sample transaction 34
[2022-07-24T09:54:51.714Z INFO  client] Sending sample transaction 35
[2022-07-24T09:54:51.752Z INFO  client] Sending sample transaction 36
[2022-07-24T09:54:51.800Z INFO  client] Sending sample transaction 37
[2022-07-24T09:54:51.848Z INFO  client] Sending sample transaction 38
[2022-07-24T09:54:51.878Z INFO  client] Sending sample transaction 39
[2022-07-24T09:54:51.914Z INFO  client] Sending sample transaction 40
[2022-07-24T09:54:51.964Z INFO  client] Sending sample transaction 41
[2022-07-24T09:54:52.017Z INFO  client] Sending sample transaction 42
[2022-07-24T09:54:52.062Z INFO  client] Sending sample transaction 43
[2022-07-24T09:54:52.111Z INFO  client] Sending sample transaction 44
[2022-07-24T09:54:52.160Z INFO  client] Sending sample transaction 45
[2022-07-24T09:54:52.215Z INFO  client] Sending sample transaction 46
[2022-07-24T09:54:52.267Z INFO  client] Sending sample transaction 47
[2022-07-24T09:54:52.311Z INFO  client] Sending sample transaction 48
[2022-07-24T09:54:52.366Z INFO  client] Sending sample transaction 49
[2022-07-24T09:54:52.411Z INFO  client] Sending sample transaction 50
[2022-07-24T09:54:52.505Z INFO  client] Sending sample transaction 51
[2022-07-24T09:54:52.535Z INFO  client] Sending sample transaction 52
[2022-07-24T09:54:52.562Z INFO  client] Sending sample transaction 53
[2022-07-24T09:54:52.628Z INFO  client] Sending sample transaction 54
