[2022-07-23T18:51:06.826Z INFO  client] Node address: 127.0.0.1:9018
[2022-07-23T18:51:06.827Z INFO  client] Transactions size: 512 B
[2022-07-23T18:51:06.827Z INFO  client] Transactions rate: 112 tx/s
[2022-07-23T18:51:06.827Z INFO  client] Waiting for all nodes to be online...
[2022-07-23T18:51:06.827Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-23T18:51:08.830Z INFO  client] Start sending transactions
[2022-07-23T18:51:08.831Z INFO  client] Sending sample transaction 0
[2022-07-23T18:51:08.881Z INFO  client] Sending sample transaction 1
[2022-07-23T18:51:08.936Z INFO  client] Sending sample transaction 2
[2022-07-23T18:51:08.983Z INFO  client] Sending sample transaction 3
[2022-07-23T18:51:09.033Z INFO  client] Sending sample transaction 4
[2022-07-23T18:51:09.082Z INFO  client] Sending sample transaction 5
[2022-07-23T18:51:09.131Z INFO  client] Sending sample transaction 6
[2022-07-23T18:51:09.182Z INFO  client] Sending sample transaction 7
[2022-07-23T18:51:09.233Z INFO  client] Sending sample transaction 8
[2022-07-23T18:51:09.282Z INFO  client] Sending sample transaction 9
[2022-07-23T18:51:09.332Z INFO  client] Sending sample transaction 10
[2022-07-23T18:51:09.382Z INFO  client] Sending sample transaction 11
[2022-07-23T18:51:09.431Z INFO  client] Sending sample transaction 12
[2022-07-23T18:51:09.481Z INFO  client] Sending sample transaction 13
[2022-07-23T18:51:09.545Z INFO  client] Sending sample transaction 14
[2022-07-23T18:51:09.581Z INFO  client] Sending sample transaction 15
[2022-07-23T18:51:09.633Z INFO  client] Sending sample transaction 16
[2022-07-23T18:51:09.683Z INFO  client] Sending sample transaction 17
[2022-07-23T18:51:09.735Z INFO  client] Sending sample transaction 18
[2022-07-23T18:51:09.794Z INFO  client] Sending sample transaction 19
[2022-07-23T18:51:09.831Z INFO  client] Sending sample transaction 20
[2022-07-23T18:51:09.882Z INFO  client] Sending sample transaction 21
[2022-07-23T18:51:09.931Z INFO  client] Sending sample transaction 22
[2022-07-23T18:51:09.981Z INFO  client] Sending sample transaction 23
[2022-07-23T18:51:10.032Z INFO  client] Sending sample transaction 24
[2022-07-23T18:51:10.081Z INFO  client] Sending sample transaction 25
[2022-07-23T18:51:10.133Z INFO  client] Sending sample transaction 26
[2022-07-23T18:51:10.181Z INFO  client] Sending sample transaction 27
[2022-07-23T18:51:10.231Z INFO  client] Sending sample transaction 28
[2022-07-23T18:51:10.282Z INFO  client] Sending sample transaction 29
[2022-07-23T18:51:10.331Z INFO  client] Sending sample transaction 30
[2022-07-23T18:51:10.382Z INFO  client] Sending sample transaction 31
[2022-07-23T18:51:10.432Z INFO  client] Sending sample transaction 32
[2022-07-23T18:51:10.482Z INFO  client] Sending sample transaction 33
[2022-07-23T18:51:10.532Z INFO  client] Sending sample transaction 34
[2022-07-23T18:51:10.582Z INFO  client] Sending sample transaction 35
[2022-07-23T18:51:10.642Z INFO  client] Sending sample transaction 36
[2022-07-23T18:51:10.681Z INFO  client] Sending sample transaction 37
