[2022-07-23T17:56:49.967Z INFO  mempool::config] Garbage collection depth set to 50 rounds
[2022-07-23T17:56:49.968Z INFO  mempool::config] Sync retry delay set to 5000 ms
[2022-07-23T17:56:49.968Z INFO  mempool::config] Sync retry nodes set to 3 nodes
[2022-07-23T17:56:49.968Z INFO  mempool::config] Batch size set to 15000 B
[2022-07-23T17:56:49.968Z INFO  mempool::config] Max batch delay set to 10 ms
[2022-07-23T17:56:49.968Z INFO  mempool::mempool] Mempool listening to client transactions on 0.0.0.0:9011
[2022-07-23T17:56:49.968Z INFO  mempool::mempool] Mempool listening to mempool messages on 0.0.0.0:9021
[2022-07-23T17:56:49.968Z INFO  mempool::mempool] Mempool successfully booted on 127.0.0.1
[2022-07-23T17:56:49.968Z INFO  consensus::config] Timeout delay set to 1000 rounds
[2022-07-23T17:56:49.968Z INFO  consensus::config] Sync retry delay set to 10000 ms
[2022-07-23T17:56:49.968Z INFO  consensus::consensus] Node JSfrWTJRqEty5jKI listening to consensus messages on 0.0.0.0:9001
[2022-07-23T17:56:49.968Z INFO  node::node] Node JSfrWTJRqEty5jKI successfully booted
[2022-07-23T17:56:49.968Z INFO  consensus::core] I am voter JSfrWTJRqEty5jKI with nanos 300
[2022-07-23T17:56:49.969Z INFO  consensus::proposer] Created B1
[2022-07-23T17:56:49.969Z INFO  consensus::proposer] Created with Round number 1 with QC 0 
[2022-07-23T17:56:49.969Z INFO  consensus::core] I'm processor JSfrWTJRqEty5jKI processing for block B1 with round number 1 with QC 0 from leader JSfrWTJRqEty5jKI
[2022-07-23T17:56:49.969Z INFO  consensus::core] I'm voter JSfrWTJRqEty5jKI voting for block B1 with round number 1 with QC 0 from leader JSfrWTJRqEty5jKI
[2022-07-23T17:56:49.970Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9007 (retry 0): Connection refused (os error 111)
[2022-07-23T17:56:49.970Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9003 (retry 0): Connection refused (os error 111)
[2022-07-23T17:56:49.970Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9000
[2022-07-23T17:56:49.970Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9006 (retry 0): Connection refused (os error 111)
[2022-07-23T17:56:49.971Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9004 (retry 0): Connection refused (os error 111)
[2022-07-23T17:56:49.970Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9005 (retry 0): Connection refused (os error 111)
[2022-07-23T17:56:49.970Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9008 (retry 0): Connection refused (os error 111)
[2022-07-23T17:56:49.970Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9002 (retry 0): Connection refused (os error 111)
[2022-07-23T17:56:49.970Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9000
[2022-07-23T17:56:49.970Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
[2022-07-23T17:56:50.172Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9003
[2022-07-23T17:56:50.173Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9004 (retry 1): Connection refused (os error 111)
[2022-07-23T17:56:50.173Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9007 (retry 1): Connection refused (os error 111)
[2022-07-23T17:56:50.173Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9002
[2022-07-23T17:56:50.173Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9005 (retry 1): Connection refused (os error 111)
[2022-07-23T17:56:50.173Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9008 (retry 1): Connection refused (os error 111)
[2022-07-23T17:56:50.173Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9009 (retry 1): Connection refused (os error 111)
[2022-07-23T17:56:50.173Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9006 (retry 1): Connection refused (os error 111)
[2022-07-23T17:56:50.576Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9009 (retry 2): Connection refused (os error 111)
[2022-07-23T17:56:50.576Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9006
[2022-07-23T17:56:50.577Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9004
[2022-07-23T17:56:50.578Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9008 (retry 2): Connection refused (os error 111)
[2022-07-23T17:56:50.578Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9005
[2022-07-23T17:56:50.578Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9007
[2022-07-23T17:56:50.609Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59577
[2022-07-23T17:56:50.611Z INFO  consensus::core] I'm handler JSfrWTJRqEty5jKI handling for block B2 with round number 2 with QC 1 from leader PqRQe/MMV/eWhNU3
[2022-07-23T17:56:50.612Z INFO  consensus::core] I'm processor JSfrWTJRqEty5jKI processing for block B2 with round number 2 with QC 1 from leader PqRQe/MMV/eWhNU3
[2022-07-23T17:56:50.612Z INFO  consensus::core] I'm voter JSfrWTJRqEty5jKI voting for block B2 with round number 2 with QC 1 from leader PqRQe/MMV/eWhNU3
[2022-07-23T17:56:50.613Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9003
[2022-07-23T17:56:50.630Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59590
[2022-07-23T17:56:50.659Z INFO  consensus::core] I'm handler JSfrWTJRqEty5jKI handling for block B3 with round number 3 with QC 2 from leader QRRQnjPsO6D/VJzp
[2022-07-23T17:56:50.660Z INFO  consensus::core] I'm processor JSfrWTJRqEty5jKI processing for block B3 with round number 3 with QC 2 from leader QRRQnjPsO6D/VJzp
[2022-07-23T17:56:50.660Z INFO  consensus::core] I'm voter JSfrWTJRqEty5jKI voting for block B3 with round number 3 with QC 2 from leader QRRQnjPsO6D/VJzp
[2022-07-23T17:56:50.664Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9005
[2022-07-23T17:56:50.690Z INFO  network::receiver] Incoming connection established with 127.0.0.1:59608
[2022-07-23T17:56:50.694Z INFO  consensus::core] I'm handler JSfrWTJRqEty5jKI handling for block B4 with round number 4 with QC 3 from leader Q3BwmTRjGsgrcYeA
