[2022-07-23T17:44:34.110Z INFO  client] Node address: 127.0.0.1:9011
[2022-07-23T17:44:34.111Z INFO  client] Transactions size: 512 B
[2022-07-23T17:44:34.111Z INFO  client] Transactions rate: 112 tx/s
[2022-07-23T17:44:34.111Z INFO  client] Waiting for all nodes to be online...
[2022-07-23T17:44:34.111Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-23T17:44:36.179Z INFO  client] Start sending transactions
[2022-07-23T17:44:36.219Z INFO  client] Sending sample transaction 0
[2022-07-23T17:44:36.241Z INFO  client] Sending sample transaction 1
[2022-07-23T17:44:36.325Z INFO  client] Sending sample transaction 2
[2022-07-23T17:44:36.366Z INFO  client] Sending sample transaction 3
[2022-07-23T17:44:36.388Z INFO  client] Sending sample transaction 4
[2022-07-23T17:44:36.431Z INFO  client] Sending sample transaction 5
[2022-07-23T17:44:36.481Z INFO  client] Sending sample transaction 6
[2022-07-23T17:44:36.532Z INFO  client] Sending sample transaction 7
[2022-07-23T17:44:36.582Z INFO  client] Sending sample transaction 8
[2022-07-23T17:44:36.632Z INFO  client] Sending sample transaction 9
[2022-07-23T17:44:36.680Z INFO  client] Sending sample transaction 10
[2022-07-23T17:44:36.731Z INFO  client] Sending sample transaction 11
[2022-07-23T17:44:36.781Z INFO  client] Sending sample transaction 12
[2022-07-23T17:44:36.835Z INFO  client] Sending sample transaction 13
[2022-07-23T17:44:36.882Z INFO  client] Sending sample transaction 14
[2022-07-23T17:44:36.933Z INFO  client] Sending sample transaction 15
[2022-07-23T17:44:36.982Z INFO  client] Sending sample transaction 16
[2022-07-23T17:44:37.031Z INFO  client] Sending sample transaction 17
[2022-07-23T17:44:37.081Z INFO  client] Sending sample transaction 18
[2022-07-23T17:44:37.133Z INFO  client] Sending sample transaction 19
[2022-07-23T17:44:37.184Z INFO  client] Sending sample transaction 20
[2022-07-23T17:44:37.232Z INFO  client] Sending sample transaction 21
[2022-07-23T17:44:37.281Z INFO  client] Sending sample transaction 22
[2022-07-23T17:44:37.365Z INFO  client] Sending sample transaction 23
[2022-07-23T17:44:37.416Z INFO  client] Sending sample transaction 24
[2022-07-23T17:44:37.450Z INFO  client] Sending sample transaction 25
[2022-07-23T17:44:37.545Z INFO  client] Sending sample transaction 26
[2022-07-23T17:44:37.583Z INFO  client] Sending sample transaction 27
[2022-07-23T17:44:37.614Z INFO  client] Sending sample transaction 28
[2022-07-23T17:44:37.645Z INFO  client] Sending sample transaction 29
[2022-07-23T17:44:37.680Z INFO  client] Sending sample transaction 30
[2022-07-23T17:44:37.744Z INFO  client] Sending sample transaction 31
[2022-07-23T17:44:37.805Z INFO  client] Sending sample transaction 32
[2022-07-23T17:44:37.834Z INFO  client] Sending sample transaction 33
[2022-07-23T17:44:37.884Z INFO  client] Sending sample transaction 34
[2022-07-23T17:44:37.930Z INFO  client] Sending sample transaction 35
[2022-07-23T17:44:37.983Z INFO  client] Sending sample transaction 36
[2022-07-23T17:44:38.031Z INFO  client] Sending sample transaction 37
[2022-07-23T17:44:38.081Z INFO  client] Sending sample transaction 38
[2022-07-23T17:44:38.131Z INFO  client] Sending sample transaction 39
[2022-07-23T17:44:38.180Z INFO  client] Sending sample transaction 40
[2022-07-23T17:44:38.233Z INFO  client] Sending sample transaction 41
[2022-07-23T17:44:38.282Z INFO  client] Sending sample transaction 42
[2022-07-23T17:44:38.332Z INFO  client] Sending sample transaction 43
[2022-07-23T17:44:38.380Z INFO  client] Sending sample transaction 44
[2022-07-23T17:44:38.441Z INFO  client] Sending sample transaction 45
[2022-07-23T17:44:38.556Z INFO  client] Sending sample transaction 46
[2022-07-23T17:44:38.556Z INFO  client] Sending sample transaction 47
[2022-07-23T17:44:38.589Z INFO  client] Sending sample transaction 48
[2022-07-23T17:44:38.632Z INFO  client] Sending sample transaction 49
[2022-07-23T17:44:38.680Z INFO  client] Sending sample transaction 50
[2022-07-23T17:44:38.731Z INFO  client] Sending sample transaction 51
[2022-07-23T17:44:38.782Z INFO  client] Sending sample transaction 52
[2022-07-23T17:44:38.879Z INFO  client] Sending sample transaction 53
[2022-07-23T17:44:38.982Z INFO  client] Sending sample transaction 54
[2022-07-23T17:44:38.982Z INFO  client] Sending sample transaction 55
[2022-07-23T17:44:39.021Z INFO  client] Sending sample transaction 56
[2022-07-23T17:44:39.051Z INFO  client] Sending sample transaction 57
[2022-07-23T17:44:39.088Z INFO  client] Sending sample transaction 58
[2022-07-23T17:44:39.132Z INFO  client] Sending sample transaction 59
[2022-07-23T17:44:39.180Z INFO  client] Sending sample transaction 60
[2022-07-23T17:44:39.230Z INFO  client] Sending sample transaction 61
[2022-07-23T17:44:39.285Z INFO  client] Sending sample transaction 62
[2022-07-23T17:44:39.330Z INFO  client] Sending sample transaction 63
[2022-07-23T17:44:39.381Z INFO  client] Sending sample transaction 64
[2022-07-23T17:44:39.431Z INFO  client] Sending sample transaction 65
[2022-07-23T17:44:39.480Z INFO  client] Sending sample transaction 66
[2022-07-23T17:44:39.530Z INFO  client] Sending sample transaction 67
[2022-07-23T17:44:39.581Z INFO  client] Sending sample transaction 68
[2022-07-23T17:44:39.637Z INFO  client] Sending sample transaction 69
[2022-07-23T17:44:39.681Z INFO  client] Sending sample transaction 70
[2022-07-23T17:44:39.730Z INFO  client] Sending sample transaction 71
[2022-07-23T17:44:39.780Z INFO  client] Sending sample transaction 72
[2022-07-23T17:44:39.830Z INFO  client] Sending sample transaction 73
[2022-07-23T17:44:39.881Z INFO  client] Sending sample transaction 74
[2022-07-23T17:44:39.930Z INFO  client] Sending sample transaction 75
[2022-07-23T17:44:40.053Z INFO  client] Sending sample transaction 76
[2022-07-23T17:44:40.098Z INFO  client] Sending sample transaction 77
[2022-07-23T17:44:40.112Z INFO  client] Sending sample transaction 78
[2022-07-23T17:44:40.136Z INFO  client] Sending sample transaction 79
[2022-07-23T17:44:40.181Z INFO  client] Sending sample transaction 80
[2022-07-23T17:44:40.231Z INFO  client] Sending sample transaction 81
[2022-07-23T17:44:40.284Z INFO  client] Sending sample transaction 82
[2022-07-23T17:44:40.331Z INFO  client] Sending sample transaction 83
[2022-07-23T17:44:40.380Z INFO  client] Sending sample transaction 84
[2022-07-23T17:44:40.431Z INFO  client] Sending sample transaction 85
[2022-07-23T17:44:40.480Z INFO  client] Sending sample transaction 86
[2022-07-23T17:44:40.530Z INFO  client] Sending sample transaction 87
[2022-07-23T17:44:40.581Z INFO  client] Sending sample transaction 88
[2022-07-23T17:44:40.631Z INFO  client] Sending sample transaction 89
[2022-07-23T17:44:40.689Z INFO  client] Sending sample transaction 90
[2022-07-23T17:44:40.730Z INFO  client] Sending sample transaction 91
[2022-07-23T17:44:40.782Z INFO  client] Sending sample transaction 92
[2022-07-23T17:44:40.831Z INFO  client] Sending sample transaction 93
[2022-07-23T17:44:40.881Z INFO  client] Sending sample transaction 94
[2022-07-23T17:44:40.930Z INFO  client] Sending sample transaction 95
[2022-07-23T17:44:40.982Z INFO  client] Sending sample transaction 96
[2022-07-23T17:44:41.030Z INFO  client] Sending sample transaction 97
[2022-07-23T17:44:41.088Z INFO  client] Sending sample transaction 98
[2022-07-23T17:44:41.136Z INFO  client] Sending sample transaction 99
[2022-07-23T17:44:41.226Z INFO  client] Sending sample transaction 100
[2022-07-23T17:44:41.231Z INFO  client] Sending sample transaction 101
[2022-07-23T17:44:41.281Z INFO  client] Sending sample transaction 102
[2022-07-23T17:44:41.330Z INFO  client] Sending sample transaction 103
[2022-07-23T17:44:41.380Z INFO  client] Sending sample transaction 104
[2022-07-23T17:44:41.430Z INFO  client] Sending sample transaction 105
[2022-07-23T17:44:41.481Z INFO  client] Sending sample transaction 106
[2022-07-23T17:44:41.531Z INFO  client] Sending sample transaction 107
[2022-07-23T17:44:41.581Z INFO  client] Sending sample transaction 108
[2022-07-23T17:44:41.631Z INFO  client] Sending sample transaction 109
[2022-07-23T17:44:41.680Z INFO  client] Sending sample transaction 110
[2022-07-23T17:44:41.734Z INFO  client] Sending sample transaction 111
[2022-07-23T17:44:41.781Z INFO  client] Sending sample transaction 112
[2022-07-23T17:44:41.830Z INFO  client] Sending sample transaction 113
[2022-07-23T17:44:41.881Z INFO  client] Sending sample transaction 114
[2022-07-23T17:44:41.930Z INFO  client] Sending sample transaction 115
[2022-07-23T17:44:41.980Z INFO  client] Sending sample transaction 116
[2022-07-23T17:44:42.039Z INFO  client] Sending sample transaction 117
[2022-07-23T17:44:42.098Z INFO  client] Sending sample transaction 118
[2022-07-23T17:44:42.158Z INFO  client] Sending sample transaction 119
[2022-07-23T17:44:42.180Z INFO  client] Sending sample transaction 120
[2022-07-23T17:44:42.231Z INFO  client] Sending sample transaction 121
[2022-07-23T17:44:42.281Z INFO  client] Sending sample transaction 122
[2022-07-23T17:44:42.331Z INFO  client] Sending sample transaction 123
[2022-07-23T17:44:42.381Z INFO  client] Sending sample transaction 124
[2022-07-23T17:44:42.431Z INFO  client] Sending sample transaction 125
[2022-07-23T17:44:42.480Z INFO  client] Sending sample transaction 126
[2022-07-23T17:44:42.531Z INFO  client] Sending sample transaction 127
[2022-07-23T17:44:42.580Z INFO  client] Sending sample transaction 128
[2022-07-23T17:44:42.630Z INFO  client] Sending sample transaction 129
[2022-07-23T17:44:42.680Z INFO  client] Sending sample transaction 130
[2022-07-23T17:44:42.731Z INFO  client] Sending sample transaction 131
