[2022-07-24T10:14:19.200Z INFO  client] Node address: 127.0.0.1:9013
[2022-07-24T10:14:19.201Z INFO  client] Transactions size: 512 B
[2022-07-24T10:14:19.201Z INFO  client] Transactions rate: 112 tx/s
[2022-07-24T10:14:19.201Z INFO  client] Waiting for all nodes to be online...
[2022-07-24T10:14:19.201Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-24T10:14:21.227Z INFO  client] Start sending transactions
[2022-07-24T10:14:21.234Z INFO  client] Sending sample transaction 0
[2022-07-24T10:14:21.280Z INFO  client] Sending sample transaction 1
[2022-07-24T10:14:21.333Z INFO  client] Sending sample transaction 2
[2022-07-24T10:14:21.381Z INFO  client] Sending sample transaction 3
[2022-07-24T10:14:21.433Z INFO  client] Sending sample transaction 4
[2022-07-24T10:14:21.482Z INFO  client] Sending sample transaction 5
[2022-07-24T10:14:21.602Z INFO  client] Sending sample transaction 6
[2022-07-24T10:14:21.620Z WARN  client] Transaction rate too high for this client
[2022-07-24T10:14:21.621Z INFO  client] Sending sample transaction 7
[2022-07-24T10:14:21.666Z INFO  client] Sending sample transaction 8
[2022-07-24T10:14:21.697Z INFO  client] Sending sample transaction 9
[2022-07-24T10:14:21.730Z INFO  client] Sending sample transaction 10
[2022-07-24T10:14:21.794Z INFO  client] Sending sample transaction 11
[2022-07-24T10:14:21.848Z INFO  client] Sending sample transaction 12
[2022-07-24T10:14:21.883Z INFO  client] Sending sample transaction 13
[2022-07-24T10:14:21.930Z INFO  client] Sending sample transaction 14
[2022-07-24T10:14:21.986Z INFO  client] Sending sample transaction 15
[2022-07-24T10:14:22.031Z INFO  client] Sending sample transaction 16
[2022-07-24T10:14:22.084Z INFO  client] Sending sample transaction 17
[2022-07-24T10:14:22.129Z INFO  client] Sending sample transaction 18
[2022-07-24T10:14:22.183Z INFO  client] Sending sample transaction 19
[2022-07-24T10:14:22.244Z INFO  client] Sending sample transaction 20
[2022-07-24T10:14:22.285Z INFO  client] Sending sample transaction 21
[2022-07-24T10:14:22.330Z INFO  client] Sending sample transaction 22
[2022-07-24T10:14:22.385Z INFO  client] Sending sample transaction 23
[2022-07-24T10:14:22.434Z INFO  client] Sending sample transaction 24
[2022-07-24T10:14:22.479Z INFO  client] Sending sample transaction 25
[2022-07-24T10:14:22.530Z INFO  client] Sending sample transaction 26
[2022-07-24T10:14:22.589Z INFO  client] Sending sample transaction 27
[2022-07-24T10:14:22.636Z INFO  client] Sending sample transaction 28
[2022-07-24T10:14:22.682Z INFO  client] Sending sample transaction 29
[2022-07-24T10:14:22.730Z INFO  client] Sending sample transaction 30
[2022-07-24T10:14:22.779Z INFO  client] Sending sample transaction 31
[2022-07-24T10:14:22.832Z INFO  client] Sending sample transaction 32
[2022-07-24T10:14:22.880Z INFO  client] Sending sample transaction 33
[2022-07-24T10:14:22.931Z INFO  client] Sending sample transaction 34
[2022-07-24T10:14:22.980Z INFO  client] Sending sample transaction 35
[2022-07-24T10:14:23.069Z INFO  client] Sending sample transaction 36
[2022-07-24T10:14:23.134Z INFO  client] Sending sample transaction 37
[2022-07-24T10:14:23.140Z INFO  client] Sending sample transaction 38
[2022-07-24T10:14:23.180Z INFO  client] Sending sample transaction 39
[2022-07-24T10:14:23.229Z INFO  client] Sending sample transaction 40
[2022-07-24T10:14:23.295Z INFO  client] Sending sample transaction 41
[2022-07-24T10:14:23.355Z INFO  client] Sending sample transaction 42
[2022-07-24T10:14:23.393Z INFO  client] Sending sample transaction 43
[2022-07-24T10:14:23.432Z INFO  client] Sending sample transaction 44
[2022-07-24T10:14:23.480Z INFO  client] Sending sample transaction 45
[2022-07-24T10:14:23.531Z INFO  client] Sending sample transaction 46
[2022-07-24T10:14:23.579Z INFO  client] Sending sample transaction 47
[2022-07-24T10:14:23.629Z INFO  client] Sending sample transaction 48
[2022-07-24T10:14:23.679Z INFO  client] Sending sample transaction 49
[2022-07-24T10:14:23.729Z INFO  client] Sending sample transaction 50
[2022-07-24T10:14:23.779Z INFO  client] Sending sample transaction 51
[2022-07-24T10:14:23.829Z INFO  client] Sending sample transaction 52
[2022-07-24T10:14:23.880Z INFO  client] Sending sample transaction 53
[2022-07-24T10:14:23.929Z INFO  client] Sending sample transaction 54
[2022-07-24T10:14:23.978Z INFO  client] Sending sample transaction 55
[2022-07-24T10:14:24.029Z INFO  client] Sending sample transaction 56
[2022-07-24T10:14:24.082Z INFO  client] Sending sample transaction 57
[2022-07-24T10:14:24.130Z INFO  client] Sending sample transaction 58
[2022-07-24T10:14:24.179Z INFO  client] Sending sample transaction 59
[2022-07-24T10:14:24.229Z INFO  client] Sending sample transaction 60
[2022-07-24T10:14:24.279Z INFO  client] Sending sample transaction 61
[2022-07-24T10:14:24.329Z INFO  client] Sending sample transaction 62
[2022-07-24T10:14:24.379Z INFO  client] Sending sample transaction 63
[2022-07-24T10:14:24.429Z INFO  client] Sending sample transaction 64
[2022-07-24T10:14:24.479Z INFO  client] Sending sample transaction 65
[2022-07-24T10:14:24.530Z INFO  client] Sending sample transaction 66
[2022-07-24T10:14:24.579Z INFO  client] Sending sample transaction 67
[2022-07-24T10:14:24.630Z INFO  client] Sending sample transaction 68
[2022-07-24T10:14:24.680Z INFO  client] Sending sample transaction 69
[2022-07-24T10:14:24.729Z INFO  client] Sending sample transaction 70
[2022-07-24T10:14:24.779Z INFO  client] Sending sample transaction 71
[2022-07-24T10:14:24.833Z INFO  client] Sending sample transaction 72
[2022-07-24T10:14:24.880Z INFO  client] Sending sample transaction 73
