[2022-07-24T10:37:25.631Z INFO  client] Node address: 127.0.0.1:9011
[2022-07-24T10:37:25.632Z INFO  client] Transactions size: 512 B
[2022-07-24T10:37:25.632Z INFO  client] Transactions rate: 112 tx/s
[2022-07-24T10:37:25.632Z INFO  client] Waiting for all nodes to be online...
[2022-07-24T10:37:25.632Z INFO  client] Waiting for all nodes to be synchronized...
[2022-07-24T10:37:27.636Z INFO  client] Start sending transactions
[2022-07-24T10:37:27.637Z INFO  client] Sending sample transaction 0
[2022-07-24T10:37:27.688Z INFO  client] Sending sample transaction 1
[2022-07-24T10:37:27.738Z INFO  client] Sending sample transaction 2
[2022-07-24T10:37:27.797Z INFO  client] Sending sample transaction 3
[2022-07-24T10:37:27.837Z INFO  client] Sending sample transaction 4
[2022-07-24T10:37:27.887Z INFO  client] Sending sample transaction 5
[2022-07-24T10:37:27.938Z INFO  client] Sending sample transaction 6
[2022-07-24T10:37:27.990Z INFO  client] Sending sample transaction 7
[2022-07-24T10:37:28.039Z INFO  client] Sending sample transaction 8
[2022-07-24T10:37:28.089Z INFO  client] Sending sample transaction 9
[2022-07-24T10:37:28.182Z INFO  client] Sending sample transaction 10
[2022-07-24T10:37:28.234Z INFO  client] Sending sample transaction 11
[2022-07-24T10:37:28.256Z INFO  client] Sending sample transaction 12
[2022-07-24T10:37:28.288Z INFO  client] Sending sample transaction 13
[2022-07-24T10:37:28.340Z INFO  client] Sending sample transaction 14
[2022-07-24T10:37:28.392Z INFO  client] Sending sample transaction 15
[2022-07-24T10:37:28.447Z INFO  client] Sending sample transaction 16
[2022-07-24T10:37:28.488Z INFO  client] Sending sample transaction 17
[2022-07-24T10:37:28.541Z INFO  client] Sending sample transaction 18
[2022-07-24T10:37:28.588Z INFO  client] Sending sample transaction 19
[2022-07-24T10:37:28.638Z INFO  client] Sending sample transaction 20
[2022-07-24T10:37:28.693Z INFO  client] Sending sample transaction 21
[2022-07-24T10:37:28.738Z INFO  client] Sending sample transaction 22
[2022-07-24T10:37:28.798Z INFO  client] Sending sample transaction 23
[2022-07-24T10:37:28.839Z INFO  client] Sending sample transaction 24
[2022-07-24T10:37:28.887Z INFO  client] Sending sample transaction 25
[2022-07-24T10:37:28.939Z INFO  client] Sending sample transaction 26
[2022-07-24T10:37:28.988Z INFO  client] Sending sample transaction 27
[2022-07-24T10:37:29.040Z INFO  client] Sending sample transaction 28
[2022-07-24T10:37:29.088Z INFO  client] Sending sample transaction 29
[2022-07-24T10:37:29.138Z INFO  client] Sending sample transaction 30
[2022-07-24T10:37:29.188Z INFO  client] Sending sample transaction 31
[2022-07-24T10:37:29.238Z INFO  client] Sending sample transaction 32
[2022-07-24T10:37:29.288Z INFO  client] Sending sample transaction 33
[2022-07-24T10:37:29.338Z INFO  client] Sending sample transaction 34
[2022-07-24T10:37:29.389Z INFO  client] Sending sample transaction 35
[2022-07-24T10:37:29.437Z INFO  client] Sending sample transaction 36
[2022-07-24T10:37:29.489Z INFO  client] Sending sample transaction 37
[2022-07-24T10:37:29.560Z INFO  client] Sending sample transaction 38
[2022-07-24T10:37:29.655Z INFO  client] Sending sample transaction 39
[2022-07-24T10:37:29.655Z INFO  client] Sending sample transaction 40
[2022-07-24T10:37:29.690Z INFO  client] Sending sample transaction 41
[2022-07-24T10:37:29.744Z INFO  client] Sending sample transaction 42
[2022-07-24T10:37:29.788Z INFO  client] Sending sample transaction 43
[2022-07-24T10:37:29.859Z INFO  client] Sending sample transaction 44
[2022-07-24T10:37:29.896Z INFO  client] Sending sample transaction 45
[2022-07-24T10:37:29.955Z INFO  client] Sending sample transaction 46
[2022-07-24T10:37:29.988Z INFO  client] Sending sample transaction 47
[2022-07-24T10:37:30.038Z INFO  client] Sending sample transaction 48
[2022-07-24T10:37:30.088Z INFO  client] Sending sample transaction 49
[2022-07-24T10:37:30.137Z INFO  client] Sending sample transaction 50
[2022-07-24T10:37:30.188Z INFO  client] Sending sample transaction 51
[2022-07-24T10:37:30.237Z INFO  client] Sending sample transaction 52
[2022-07-24T10:37:30.288Z INFO  client] Sending sample transaction 53
[2022-07-24T10:37:30.338Z INFO  client] Sending sample transaction 54
[2022-07-24T10:37:30.387Z INFO  client] Sending sample transaction 55
[2022-07-24T10:37:30.437Z INFO  client] Sending sample transaction 56
[2022-07-24T10:37:30.487Z INFO  client] Sending sample transaction 57
[2022-07-24T10:37:30.537Z INFO  client] Sending sample transaction 58
[2022-07-24T10:37:30.588Z INFO  client] Sending sample transaction 59
[2022-07-24T10:37:30.641Z INFO  client] Sending sample transaction 60
[2022-07-24T10:37:30.688Z INFO  client] Sending sample transaction 61
[2022-07-24T10:37:30.738Z INFO  client] Sending sample transaction 62
[2022-07-24T10:37:30.787Z INFO  client] Sending sample transaction 63
[2022-07-24T10:37:30.837Z INFO  client] Sending sample transaction 64
[2022-07-24T10:37:30.888Z INFO  client] Sending sample transaction 65
[2022-07-24T10:37:30.945Z INFO  client] Sending sample transaction 66
[2022-07-24T10:37:30.995Z INFO  client] Sending sample transaction 67
[2022-07-24T10:37:31.038Z INFO  client] Sending sample transaction 68
[2022-07-24T10:37:31.091Z INFO  client] Sending sample transaction 69
[2022-07-24T10:37:31.138Z INFO  client] Sending sample transaction 70
[2022-07-24T10:37:31.187Z INFO  client] Sending sample transaction 71
[2022-07-24T10:37:31.237Z INFO  client] Sending sample transaction 72
[2022-07-24T10:37:31.288Z INFO  client] Sending sample transaction 73
[2022-07-24T10:37:31.337Z INFO  client] Sending sample transaction 74
[2022-07-24T10:37:31.388Z INFO  client] Sending sample transaction 75
[2022-07-24T10:37:31.438Z INFO  client] Sending sample transaction 76
[2022-07-24T10:37:31.487Z INFO  client] Sending sample transaction 77
[2022-07-24T10:37:31.537Z INFO  client] Sending sample transaction 78
[2022-07-24T10:37:31.588Z INFO  client] Sending sample transaction 79
[2022-07-24T10:37:31.637Z INFO  client] Sending sample transaction 80
[2022-07-24T10:37:31.687Z INFO  client] Sending sample transaction 81
[2022-07-24T10:37:31.737Z INFO  client] Sending sample transaction 82
[2022-07-24T10:37:31.787Z INFO  client] Sending sample transaction 83
[2022-07-24T10:37:31.837Z INFO  client] Sending sample transaction 84
[2022-07-24T10:37:31.887Z INFO  client] Sending sample transaction 85
[2022-07-24T10:37:31.938Z INFO  client] Sending sample transaction 86
[2022-07-24T10:37:31.987Z INFO  client] Sending sample transaction 87
[2022-07-24T10:37:32.044Z INFO  client] Sending sample transaction 88
[2022-07-24T10:37:32.087Z INFO  client] Sending sample transaction 89
[2022-07-24T10:37:32.137Z INFO  client] Sending sample transaction 90
[2022-07-24T10:37:32.188Z INFO  client] Sending sample transaction 91
[2022-07-24T10:37:32.238Z INFO  client] Sending sample transaction 92
[2022-07-24T10:37:32.287Z INFO  client] Sending sample transaction 93
[2022-07-24T10:37:32.338Z INFO  client] Sending sample transaction 94
[2022-07-24T10:37:32.387Z INFO  client] Sending sample transaction 95
[2022-07-24T10:37:32.437Z INFO  client] Sending sample transaction 96
[2022-07-24T10:37:32.487Z INFO  client] Sending sample transaction 97
[2022-07-24T10:37:32.538Z INFO  client] Sending sample transaction 98
[2022-07-24T10:37:32.588Z INFO  client] Sending sample transaction 99
[2022-07-24T10:37:32.637Z INFO  client] Sending sample transaction 100
[2022-07-24T10:37:32.687Z INFO  client] Sending sample transaction 101
[2022-07-24T10:37:32.738Z INFO  client] Sending sample transaction 102
[2022-07-24T10:37:32.787Z INFO  client] Sending sample transaction 103
[2022-07-24T10:37:32.838Z INFO  client] Sending sample transaction 104
