[2022-07-24T10:33:28.338Z INFO  mempool::config] Garbage collection depth set to 50 rounds
[2022-07-24T10:33:28.339Z INFO  mempool::config] Sync retry delay set to 5000 ms
[2022-07-24T10:33:28.339Z INFO  mempool::config] Sync retry nodes set to 3 nodes
[2022-07-24T10:33:28.339Z INFO  mempool::config] Batch size set to 15000 B
[2022-07-24T10:33:28.339Z INFO  mempool::config] Max batch delay set to 10 ms
[2022-07-24T10:33:28.339Z INFO  mempool::mempool] Mempool listening to client transactions on 0.0.0.0:9010
[2022-07-24T10:33:28.339Z INFO  mempool::mempool] Mempool listening to mempool messages on 0.0.0.0:9020
[2022-07-24T10:33:28.339Z INFO  mempool::mempool] Mempool successfully booted on 127.0.0.1
[2022-07-24T10:33:28.339Z INFO  consensus::config] Timeout delay set to 1000 rounds
[2022-07-24T10:33:28.339Z INFO  consensus::config] Sync retry delay set to 10000 ms
[2022-07-24T10:33:28.339Z INFO  consensus::consensus] Node J+CYDWGZ9N4WApdC listening to consensus messages on 0.0.0.0:9000
[2022-07-24T10:33:28.340Z INFO  node::node] Node J+CYDWGZ9N4WApdC successfully booted
[2022-07-24T10:33:28.340Z INFO  consensus::core] I am voter J+CYDWGZ9N4WApdC with nanos 500
[2022-07-24T10:33:28.694Z INFO  network::receiver] Incoming connection established with 127.0.0.1:57719
[2022-07-24T10:33:28.697Z INFO  consensus::core] I'm handler J+CYDWGZ9N4WApdC handling for block B1 with round number 1 with QC 0 from leader DNuK+w7o5cjYt7cE
[2022-07-24T10:33:28.697Z INFO  consensus::core] I'm processor J+CYDWGZ9N4WApdC processing for block B1 with round number 1 with QC 0 from leader DNuK+w7o5cjYt7cE
[2022-07-24T10:33:28.697Z INFO  consensus::core] I'm voter J+CYDWGZ9N4WApdC voting for block B1 with round number 1 with QC 0 from leader DNuK+w7o5cjYt7cE
[2022-07-24T10:33:28.698Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9007 (retry 0): Connection refused (os error 111)
[2022-07-24T10:33:29.341Z WARN  consensus::core] Timeout reached for round 1
[2022-07-24T10:33:29.342Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9009 (retry 0): Connection refused (os error 111)
