[2022-07-17T10:08:24.648Z INFO  mempool::config] Garbage collection depth set to 50 rounds
[2022-07-17T10:08:24.649Z INFO  mempool::config] Sync retry delay set to 5000 ms
[2022-07-17T10:08:24.649Z INFO  mempool::config] Sync retry nodes set to 3 nodes
[2022-07-17T10:08:24.649Z INFO  mempool::config] Batch size set to 15000 B
[2022-07-17T10:08:24.649Z INFO  mempool::config] Max batch delay set to 10 ms
[2022-07-17T10:08:24.649Z INFO  mempool::mempool] Mempool listening to client transactions on 0.0.0.0:9007
[2022-07-17T10:08:24.649Z INFO  mempool::mempool] Mempool listening to mempool messages on 0.0.0.0:9012
[2022-07-17T10:08:24.649Z INFO  mempool::mempool] Mempool successfully booted on 127.0.0.1
[2022-07-17T10:08:24.649Z INFO  consensus::config] Timeout delay set to 1000 rounds
[2022-07-17T10:08:24.649Z INFO  consensus::config] Sync retry delay set to 10000 ms
[2022-07-17T10:08:24.649Z INFO  consensus::consensus] Node fbryT5XLwtmgJwrG listening to consensus messages on 0.0.0.0:9002
[2022-07-17T10:08:24.649Z INFO  node::node] Node fbryT5XLwtmgJwrG successfully booted
[2022-07-17T10:08:24.724Z INFO  network::receiver] Incoming connection established with 127.0.0.1:56042
[2022-07-17T10:08:24.725Z INFO  consensus::core] I'm handler fbryT5XLwtmgJwrG handling for block B1 with round number 1 with QC 0 from leader Zc+pTVtcL+ZapqHi
[2022-07-17T10:08:24.725Z INFO  consensus::core] I'm processor fbryT5XLwtmgJwrG processing for block B1 with round number 1 with QC 0 from leader Zc+pTVtcL+ZapqHi
[2022-07-17T10:08:24.725Z INFO  consensus::core] I'm voter fbryT5XLwtmgJwrG voting for block B1 with round number 1 with QC 0 from leader Zc+pTVtcL+ZapqHi
[2022-07-17T10:08:24.726Z INFO  network::receiver] Incoming connection established with 127.0.0.1:56044
[2022-07-17T10:08:25.129Z INFO  network::receiver] Incoming connection established with 127.0.0.1:56049
[2022-07-17T10:08:25.521Z INFO  network::receiver] Incoming connection established with 127.0.0.1:56052
[2022-07-17T10:08:25.651Z WARN  consensus::core] Timeout reached for round 1
[2022-07-17T10:08:25.651Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9004 (retry 0): Connection refused (os error 111)
[2022-07-17T10:08:25.651Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9001
[2022-07-17T10:08:25.651Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9003
[2022-07-17T10:08:25.651Z INFO  network::simple_sender] Outgoing connection established with 127.0.0.1:9000
[2022-07-17T10:08:25.730Z INFO  consensus::proposer] Created B2
[2022-07-17T10:08:25.730Z INFO  consensus::proposer] Created with Round number 2 with QC 0 
[2022-07-17T10:08:25.730Z INFO  consensus::core] I'm processor fbryT5XLwtmgJwrG processing for block B2 with round number 2 with QC 0 from leader fbryT5XLwtmgJwrG
[2022-07-17T10:08:25.730Z INFO  consensus::core] I'm voter fbryT5XLwtmgJwrG voting for block B2 with round number 2 with QC 0 from leader fbryT5XLwtmgJwrG
[2022-07-17T10:08:25.731Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9004 (retry 0): Connection refused (os error 111)
[2022-07-17T10:08:25.731Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9004 (retry 0): Connection refused (os error 111)
[2022-07-17T10:08:25.731Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9000
[2022-07-17T10:08:25.731Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9001
[2022-07-17T10:08:25.731Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9003
[2022-07-17T10:08:25.733Z INFO  consensus::proposer] Created B2
[2022-07-17T10:08:25.733Z INFO  consensus::proposer] Created with Round number 2 with QC 0 
[2022-07-17T10:08:25.733Z INFO  consensus::core] I'm processor fbryT5XLwtmgJwrG processing for block B2 with round number 2 with QC 0 from leader fbryT5XLwtmgJwrG
[2022-07-17T10:08:25.733Z INFO  consensus::core] I'm voter fbryT5XLwtmgJwrG voting for block B2 with round number 2 with QC 0 from leader fbryT5XLwtmgJwrG
[2022-07-17T10:08:25.733Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9004 (retry 0): Connection refused (os error 111)
[2022-07-17T10:08:25.734Z INFO  consensus::proposer] Created B2
[2022-07-17T10:08:25.734Z INFO  consensus::proposer] Created with Round number 2 with QC 0 
[2022-07-17T10:08:25.734Z INFO  consensus::core] I'm processor fbryT5XLwtmgJwrG processing for block B2 with round number 2 with QC 0 from leader fbryT5XLwtmgJwrG
[2022-07-17T10:08:25.734Z INFO  consensus::core] I'm voter fbryT5XLwtmgJwrG voting for block B2 with round number 2 with QC 0 from leader fbryT5XLwtmgJwrG
[2022-07-17T10:08:25.734Z WARN  network::simple_sender] Failed to connect to 127.0.0.1:9004 (retry 0): Connection refused (os error 111)
[2022-07-17T10:08:25.933Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9004 (retry 1): Connection refused (os error 111)
[2022-07-17T10:08:26.304Z INFO  network::receiver] Incoming connection established with 127.0.0.1:56084
[2022-07-17T10:08:26.308Z INFO  mempool::batch_maker] Batch zax0pm5MADm/sJNnaWfWLCDmZAjK/GQpwmfwOV1A0q8= contains sample tx 0
[2022-07-17T10:08:26.308Z INFO  mempool::batch_maker] Batch zax0pm5MADm/sJNnaWfWLCDmZAjK/GQpwmfwOV1A0q8= contains 4608 B
[2022-07-17T10:08:26.308Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9011
[2022-07-17T10:08:26.309Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9010
[2022-07-17T10:08:26.309Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9014 (retry 0): Connection refused (os error 111)
[2022-07-17T10:08:26.309Z INFO  network::reliable_sender] Outgoing connection established with 127.0.0.1:9013
[2022-07-17T10:08:26.309Z INFO  network::receiver] Incoming connection established with 127.0.0.1:56088
[2022-07-17T10:08:26.313Z INFO  network::receiver] Incoming connection established with 127.0.0.1:56096
[2022-07-17T10:08:26.320Z INFO  mempool::batch_maker] Batch khPb6dLjzKtusb1ZExC4pdgnPXRblOuVonSD+PpZuDU= contains 1536 B
[2022-07-17T10:08:26.336Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9004 (retry 2): Connection refused (os error 111)
[2022-07-17T10:08:26.365Z INFO  mempool::batch_maker] Batch lJs0S0DfOaTgGWsBC5yDnflVMvCpFEs0v7oXXh9eaHc= contains sample tx 1
[2022-07-17T10:08:26.365Z INFO  mempool::batch_maker] Batch lJs0S0DfOaTgGWsBC5yDnflVMvCpFEs0v7oXXh9eaHc= contains 6144 B
[2022-07-17T10:08:26.370Z INFO  network::receiver] Incoming connection established with 127.0.0.1:56100
[2022-07-17T10:08:26.410Z INFO  mempool::batch_maker] Batch fowIU9w9Ol4/AdlWqVaQg76amJ1qVFYCB3ZwBc2zHc0= contains sample tx 2
[2022-07-17T10:08:26.410Z INFO  mempool::batch_maker] Batch fowIU9w9Ol4/AdlWqVaQg76amJ1qVFYCB3ZwBc2zHc0= contains 6144 B
[2022-07-17T10:08:26.469Z INFO  mempool::batch_maker] Batch h9giPc8SMbE0qSJRhp2NkpXCKJ7ZevlElQTYOZVnx7E= contains sample tx 3
[2022-07-17T10:08:26.469Z INFO  mempool::batch_maker] Batch h9giPc8SMbE0qSJRhp2NkpXCKJ7ZevlElQTYOZVnx7E= contains 6144 B
[2022-07-17T10:08:26.511Z WARN  network::reliable_sender] Failed to connect to 127.0.0.1:9014 (retry 1): Connection refused (os error 111)
[2022-07-17T10:08:26.515Z INFO  mempool::batch_maker] Batch gfigyfTIshd5nfHxndlYHAHLkGKppTDn/RaeI7mA88c= contains sample tx 4
[2022-07-17T10:08:26.515Z INFO  mempool::batch_maker] Batch gfigyfTIshd5nfHxndlYHAHLkGKppTDn/RaeI7mA88c= contains 6144 B
[2022-07-17T10:08:26.562Z INFO  mempool::batch_maker] Batch fccwNcLUtiGnkG0S+nE6z2dZplOeGrbOxIiFZOvngdQ= contains sample tx 5
[2022-07-17T10:08:26.562Z INFO  mempool::batch_maker] Batch fccwNcLUtiGnkG0S+nE6z2dZplOeGrbOxIiFZOvngdQ= contains 6144 B
[2022-07-17T10:08:26.619Z INFO  mempool::batch_maker] Batch Bz8mrYMt1XbOgjoUxIf8c+2n6czJBu8HwFGEu63rp1E= contains sample tx 6
[2022-07-17T10:08:26.619Z INFO  mempool::batch_maker] Batch Bz8mrYMt1XbOgjoUxIf8c+2n6czJBu8HwFGEu63rp1E= contains 6144 B
[2022-07-17T10:08:26.665Z INFO  mempool::batch_maker] Batch JbHWLr0R+yAQx3qgINft2aAYySiQknzpYQSgqI4pESU= contains sample tx 7
[2022-07-17T10:08:26.665Z INFO  mempool::batch_maker] Batch JbHWLr0R+yAQx3qgINft2aAYySiQknzpYQSgqI4pESU= contains 6144 B
[2022-07-17T10:08:26.709Z INFO  mempool::batch_maker] Batch 8XMJM97UoNWQ532XAHROMbfQgC/HfA2KWyBD5fYEPH8= contains 2048 B
[2022-07-17T10:08:26.720Z INFO  mempool::batch_maker] Batch VPhM6mbFn6j7Kz2iEpjq5Ko29SqDasi60BoO1QIqkTw= contains sample tx 8
[2022-07-17T10:08:26.720Z INFO  mempool::batch_maker] Batch VPhM6mbFn6j7Kz2iEpjq5Ko29SqDasi60BoO1QIqkTw= contains 4096 B
